case_id,controller,scenario_id,category,demand_profile,urban_volume_vph,freeway_volume_vph,rand_seed,returncode,elapsed_sec,run_dir,state_csv,action_csv,decision_dir,ok,state_rows,completed_sim_sec,warmup_sec,analysis_time_h,vehicle_hours_total,vehicle_hours_freeway,vehicle_hours_urban,stopped_vehicle_hours,mean_total_vehicles,mean_freeway_vehicles,mean_urban_vehicles,mean_ramp_vehicles,mean_boundary_vehicles,mean_speed_kph,freeway_mean_speed_kph,mean_stopped_vehicles,final_total_vehicles,final_urban_vehicles,final_freeway_vehicles,final_stopped_vehicles,controller_statuses,fallback_state_rows,mean_decision_wall_sec_state_csv,max_decision_wall_sec_state_csv,action_rows,decision_count_action_csv,mean_vsl_kph,mean_ramp_green_sec,mean_ramp_rate_vph,mean_signal_green_sec,mean_signal_split_abs_sec,mean_signal_offset_abs_sec,vsl_mean_abs_step_kph,ramp_green_abs_step_sec,ramp_rate_abs_step_vph,signal_green_abs_step_sec,signal_split_abs_step_sec,signal_offset_abs_step_sec,decision_json_count,controller_variants,controller_statuses_json,controller_error_count,controller_error_sample,mean_decision_wall_sec,max_decision_wall_sec,mean_prediction_wall_sec,prediction_error_count,prediction_lag_max_abs_sec,prediction_total_abs_error_mean_veh,prediction_total_abs_error_max_veh,prediction_np_abs_error_mean_veh,prediction_freeway_abs_error_mean_veh,wu_convergence_rate,wu_residual_mean,wu_residual_max,wu_iterations_mean,pfo_convergence_rate,pfo_residual_objective_mean,pfo_residual_control_mean,pfo_iterations_mean,primary_rank_key,vehicle_hours_total_delta_vs_no_control,vehicle_hours_total_pct_vs_no_control,stopped_vehicle_hours_delta_vs_no_control,stopped_vehicle_hours_pct_vs_no_control,mean_speed_kph_delta_vs_no_control,mean_speed_kph_pct_vs_no_control,mean_total_vehicles_delta_vs_no_control,mean_total_vehicles_pct_vs_no_control,final_total_vehicles_delta_vs_no_control,final_total_vehicles_pct_vs_no_control,prediction_total_abs_error_mean_veh_delta_vs_no_control,prediction_total_abs_error_mean_veh_pct_vs_no_control
no-control_sym_high_u2600_fw3400_seed11_300s,no-control,sym_high,4_symmetric_high,sym,2600.0,3400.0,11,0,52.628,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed11_300s,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed11_300s\state.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed11_300s\action.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed11_300s\decisions,True,61,300.0,60.0,0.06805555555555555,67.16805555555555,10.979166666666666,15.061111111111112,23.569444444444443,986.9591836734694,161.3265306122449,221.30612244897958,29.306122448979593,519.1428571428571,37.041239204081634,83.30641553061224,346.3265306122449,1375.0,317.0,186.0,544.0,ok,0,0.32686016393442624,0.361293,162,6,120.0,10.0,825.5365,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,no-control,ok,0,,0.3264235,0.361293,0.0449375,5,1.0,61.148817473769476,161.2446901309379,104.75881911292083,27.771213689461973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.06041666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no-control_sym_high_u2600_fw3400_seed13_300s,no-control,sym_high,4_symmetric_high,sym,2600.0,3400.0,13,0,53.142,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed13_300s,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed13_300s\state.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed13_300s\action.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed13_300s\decisions,True,61,300.0,60.0,0.06805555555555555,68.15972222222223,9.679166666666667,15.130555555555556,24.745833333333334,1001.530612244898,142.22448979591837,222.3265306122449,34.95918367346939,546.5102040816327,35.94927110204082,92.32808467346938,363.61224489795916,1349.0,348.0,160.0,541.0,ok,0,0.3140284918032787,0.326526,162,6,120.0,10.0,825.5365,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,no-control,ok,0,,0.31158183333333334,0.326526,0.0446795,5,1.0,67.89174439115968,151.27087836574128,101.97289769182022,17.31248767967245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.34618055555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no-control_sym_high_u2600_fw3400_seed17_300s,no-control,sym_high,4_symmetric_high,sym,2600.0,3400.0,17,0,51.638,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed17_300s,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed17_300s\state.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed17_300s\action.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed17_300s\decisions,True,61,300.0,60.0,0.06805555555555555,67.63888888888889,9.791666666666666,14.834722222222222,24.00138888888889,993.8775510204082,143.87755102040816,217.9795918367347,36.44897959183673,540.204081632653,36.42703520408163,91.21390414285713,352.6734693877551,1375.0,315.0,184.0,557.0,ok,0,0.3092702295081967,0.32924,162,6,120.0,10.0,825.5365,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,no-control,ok,0,,0.31232116666666665,0.32924,0.047912166666666665,5,1.0,41.569354189679984,159.2121237032818,108.36006525323526,24.579094196837097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.6392361111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no-control_sym_high_u2600_fw3400_seed19_300s,no-control,sym_high,4_symmetric_high,sym,2600.0,3400.0,19,0,52.642,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed19_300s,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed19_300s\state.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed19_300s\action.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed19_300s\decisions,True,61,300.0,60.0,0.06805555555555555,70.56527777777778,11.190277777777778,15.256944444444445,25.334722222222222,1036.8775510204082,164.42857142857142,224.18367346938774,32.08163265306123,561.8367346938776,34.64597873469388,81.75772283673469,372.265306122449,1376.0,309.0,181.0,529.0,ok,0,0.3711921967213115,0.465982,162,6,120.0,10.0,825.5365,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,no-control,ok,0,,0.384823,0.465982,0.050415166666666664,5,1.0,69.07218362658543,192.82206023870185,114.75440375832733,28.5501233921505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.89895833333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no-control_sym_high_u2600_fw3400_seed29_300s,no-control,sym_high,4_symmetric_high,sym,2600.0,3400.0,29,0,52.143,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed29_300s,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed29_300s\state.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed29_300s\action.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed29_300s\decisions,True,61,300.0,60.0,0.06805555555555555,67.38472222222222,11.709722222222222,15.620833333333334,22.51388888888889,990.1428571428571,172.0612244897959,229.53061224489795,28.591836734693878,502.0408163265306,36.203325408163266,75.9453360612245,330.81632653061223,1415.0,332.0,193.0,566.0,ok,0,0.3720919508196721,0.422871,162,6,120.0,10.0,825.5365,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,no-control,ok,0,,0.3746985,0.422871,0.0440205,5,1.0,42.19679111044718,108.0675988353455,98.98588926950232,35.87645537444914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.01319444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no-control_sym_high_u2600_fw3400_seed31_300s,no-control,sym_high,4_symmetric_high,sym,2600.0,3400.0,31,0,52.648,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed31_300s,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed31_300s\state.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed31_300s\action.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed31_300s\decisions,True,61,300.0,60.0,0.06805555555555555,65.97083333333333,8.934722222222222,15.929166666666667,23.829166666666666,969.3673469387755,131.28571428571428,234.0612244897959,29.816326530612244,521.3673469387755,36.120401367346936,97.0572804489796,350.14285714285717,1293.0,344.0,141.0,535.0,ok,0,0.38570167213114753,0.484446,162,6,120.0,10.0,825.5365,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,no-control,ok,0,,0.37401666666666666,0.484446,0.046114833333333334,5,1.0,65.20157910504454,202.47931694925182,101.23406990944379,16.153133545624346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.928125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no-control_sym_high_u2600_fw3400_seed37_300s,no-control,sym_high,4_symmetric_high,sym,2600.0,3400.0,37,0,52.14,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed37_300s,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed37_300s\state.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed37_300s\action.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed37_300s\decisions,True,61,300.0,60.0,0.06805555555555555,67.46805555555555,9.598611111111111,15.965277777777779,24.129166666666666,991.3673469387755,141.0408163265306,234.59183673469389,32.93877551020408,527.3061224489796,37.360130081632654,94.74950410204082,354.55102040816325,1341.0,350.0,154.0,561.0,ok,0,0.3983053442622951,0.440074,162,6,120.0,10.0,825.5365,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,no-control,ok,0,,0.3839956666666667,0.440074,0.04342783333333333,5,1.0,51.94474647030296,162.1730306030163,102.31290825467718,19.067069487879834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.50034722222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no-control_sym_high_u2600_fw3400_seed41_300s,no-control,sym_high,4_symmetric_high,sym,2600.0,3400.0,41,0,53.143,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed41_300s,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed41_300s\state.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed41_300s\action.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed41_300s\decisions,True,61,300.0,60.0,0.06805555555555555,65.31805555555556,10.666666666666666,14.820833333333333,22.301388888888887,959.7755102040817,156.73469387755102,217.77551020408163,34.326530612244895,493.0612244897959,37.939859081632655,85.78463522448979,327.6938775510204,1298.0,324.0,168.0,495.0,ok,0,0.36015360655737705,0.45812,162,6,120.0,10.0,825.5365,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,no-control,ok,0,,0.35529900000000003,0.45812,0.047677166666666666,5,1.0,53.06155929280442,190.1673946318897,101.4945082292682,28.300818799102306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.89340277777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no-control_sym_high_u2600_fw3400_seed43_300s,no-control,sym_high,4_symmetric_high,sym,2600.0,3400.0,43,0,52.641,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed43_300s,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed43_300s\state.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed43_300s\action.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\no-control_sym_high_u2600_fw3400_seed43_300s\decisions,True,61,300.0,60.0,0.06805555555555555,67.88333333333334,10.1125,15.776388888888889,24.476388888888888,997.469387755102,148.59183673469389,231.81632653061226,31.183673469387756,529.9591836734694,35.142788979591835,80.2545210612245,359.6530612244898,1366.0,332.0,173.0,559.0,ok,0,0.375241393442623,0.435571,162,6,120.0,10.0,825.5365,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,no-control,ok,0,,0.37598383333333335,0.435571,0.0432785,5,1.0,56.689320591929814,159.4642265592954,98.89182207227817,20.575328208768322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.00243055555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wu_sym_high_u2600_fw3400_seed11_300s,wu,sym_high,4_symmetric_high,sym,2600.0,3400.0,11,0,60.652,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\wu_sym_high_u2600_fw3400_seed11_300s,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\wu_sym_high_u2600_fw3400_seed11_300s\state.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\wu_sym_high_u2600_fw3400_seed11_300s\action.csv,evaluation\runs\controller_no_wu_pfo_sym_300s_10seeds_20260629\wu_sym_high_u2600_fw3400_seed11_300s\decisions,True,61,300.0,60.0,0.06805555555555555,67.18472222222222,10.975,15.20138888888889,23.62361111111111,987.204081632653,161.26530612244898,223.3673469387755,29.285714285714285,517.734693877551,37.00633985714286,83.28897148979593,347.1224489795918,1381.0,327.0,186.0,554.0,ok,0,1.632451606557377,2.404613,162,6,120.0,10.0,825.5365,57.0,1.0666666666666667,0.0,0.0,0.0,0.0,0.0,0.32,0.0,6,wu,ok,0,,1.7291563333333333,2.404613,0.04076233333333333,5,1.0,60.14881747376952,157.2446901309379,104.12270800180974,27.771213689461973,0.3333333333333333,0.056694406268161524,0.08514942591502152,2.3333333333333335,0.0,0.0,0.0,0.0,73.090625,0.01666666666666572,0.02481338268439304,0.05416666666666714,0.22981732469063254,-0.03489934693877217,-0.09421754695217258,0.24489795918361779,0.024813382684388808,6.0,0.43636363636363634,-0.9999999999999574,-1.6353546009764122
