direction,cell,start_m,end_m,lane_km,effective_lanes
E,0,0.0,513.525,2.0541,4.0
E,1,513.525,1027.05,2.0541,4.0
E,2,1027.05,1540.575,2.0541000000000005,4.0
E,3,1540.575,2054.101,2.054104,4.0
E,4,2054.101,2567.626,2.0541000000000005,4.0
E,5,2567.626,3081.151,2.0541000014944273,4.000000002910138
E,6,3081.151,3594.676,2.0541000000000005,4.0
E,7,3594.676,4108.201,2.0541000000000005,4.0
E,8,4108.201,4621.726,2.0540999999999987,4.0
E,9,4621.726,5135.252,2.054104000000003,4.0
E,10,5135.252,5648.777,2.0540999999999987,4.0
E,11,5648.777,6162.302,2.0540999999999987,4.0
E,12,6162.302,6675.827,2.0541000000000023,4.0
E,13,6675.827,7189.352,1.7064912299900834,3.323092799747012
E,14,7189.352,7702.877,1.5405750021597686,3.0000000042057677
E,15,7702.877,8216.402,1.540574999999999,3.0
E,16,8216.402,8729.928,1.5405779999999996,3.0
E,17,8729.928,9243.453,1.540574999999999,3.0
E,18,9243.453,9756.978,1.540574999999999,3.0
E,19,9756.978,10270.503,1.5405750000000045,3.0
E,20,10270.503,10784.028,1.540574999999999,3.0
W,0,0.0,513.357,1.540071,3.0
W,1,513.357,1026.714,1.540071,3.0
W,2,1026.714,1540.071,1.540071,3.0
W,3,1540.071,2053.429,1.5400740000000006,3.0
W,4,2053.429,2566.786,1.540071,3.0
W,5,2566.786,3080.143,1.540071,3.0
W,6,3080.143,3593.5,1.540071,3.0
W,7,3593.5,4106.857,1.8245688914165945,3.5541911212208945
W,8,4106.857,4620.214,2.053428,4.0
W,9,4620.214,5133.572,2.053432000000001,4.0
W,10,5133.572,5646.929,2.053428,4.0
W,11,5646.929,6160.286,2.053428,4.0
W,12,6160.286,6673.643,2.053428,4.0
W,13,6673.643,7187.0,2.053428,4.0
W,14,7187.0,7700.357,2.053428,4.0
W,15,7700.357,8213.714,2.053428,4.0
W,16,8213.714,8727.072,2.053432000000001,4.0
W,17,8727.072,9240.429,2.053428,4.0
W,18,9240.429,9753.786,2.053428,4.0
W,19,9753.786,10267.143,2.053428,4.0
W,20,10267.143,10780.5,2.053428,4.0
