scope,window_sec,start_sec,end_sec,minute,n_veh,production_veh_km_h,k_veh_km_lane,q_veh_h_lane,speed_kph
pn_core,30,0,30,0.25,3.4833333333333334,120.24049999999998,0.026788096064271513,0.924693032961542,34.51880382775119
omega_urban,30,0,30,0.25,4.916666666666667,171.6715,0.032606360921130506,1.1384914350247843,34.91623728813559
ramp_inside,30,0,30,0.25,0.0,0.0,0.0,0.0,
freeway,30,0,30,0.25,24.016666666666666,2008.8760000000004,0.30597025289140306,25.59290622126872,83.64507980569051
omega,30,0,30,0.25,28.933333333333334,2180.5474999999997,0.12275754919884288,9.251566832200362,75.36454493087557
pn_core,30,30,60,0.75,10.533333333333333,351.9978333333334,0.08100515173502199,2.706990939832182,33.417515822784814
omega_urban,30,30,60,0.75,22.8,837.4143333333335,0.15120509064442894,5.553566235903978,36.728698830409364
ramp_inside,30,30,60,0.75,0.0,0.0,0.0,0.0,
freeway,30,30,60,0.75,66.0,6931.235833333336,0.8408342827550008,88.30334409888782,105.01872474747479
omega,30,30,60,0.75,88.8,7768.650166666665,0.3767581924720247,32.960614805639935,87.48479917417416
pn_core,30,60,90,1.25,21.366666666666667,541.8303333333333,0.1643174122219908,4.166871680345336,25.35867394695788
omega_urban,30,60,90,1.25,47.63333333333333,1594.556666666667,0.3158948458053932,10.574784443904027,33.475647305808266
ramp_inside,30,60,90,1.25,0.0,0.0,0.0,0.0,
freeway,30,60,90,1.25,115.81666666666666,12599.431333333336,1.4754943007233587,160.5156637618821,108.78772197438482
omega,30,60,90,1.25,163.45,14193.988000000003,0.6934811549499148,60.22186106812624,86.83993881921079
pn_core,30,90,120,1.75,32.416666666666664,804.3853333333334,0.24929591791869896,6.186014808236669,24.813943444730082
omega_urban,30,90,120,1.75,65.48333333333333,2112.8603333333335,0.43427251545465,14.01207185178443,32.26561975057267
ramp_inside,30,90,120,1.75,1.2166666666666666,66.35516666666666,0.18972182399761298,10.347142398629268,54.538493150684936
freeway,30,90,120,1.75,167.91666666666666,18372.35966666667,2.1392437875648063,234.06227064906935,109.41355632754346
omega,30,90,120,1.75,234.61666666666667,20551.575166666666,0.9954251267696493,87.19565666944013,87.59639909071534
pn_core,30,120,150,2.25,40.61666666666667,1613.2580000000003,0.3123568904719123,12.406538836494125,39.71911366434141
omega_urban,30,120,150,2.25,81.98333333333333,3415.2969999999996,0.5436972521052236,22.649574230817812,41.65843057532018
ramp_inside,30,120,150,2.25,4.766666666666667,317.6253333333333,0.7432937214153057,49.52914322289026,66.6346853146853
freeway,30,120,150,2.25,220.56666666666666,24358.963666666663,2.8100002267625457,310.3310870199513,110.43810034758953
omega,30,120,150,2.25,307.31666666666666,28091.885999999995,1.3038746829939307,119.18747964515963,91.41022615109277
pn_core,30,150,180,2.75,57.25,2135.0178333333333,0.4402732534965198,16.419061096152962,37.29288791848617
omega_urban,30,150,180,2.75,107.08333333333333,4024.5669999999996,0.7101554878585203,26.6901323701569,37.58350505836576
ramp_inside,30,150,180,2.75,8.0,454.242,1.247485966011702,70.83256502163594,56.78025
freeway,30,150,180,2.75,267.06666666666666,29748.059499999985,3.402406198703569,378.9877011065996,111.3881409136295
omega,30,150,180,2.75,382.15,34226.86849999999,1.621375487085408,145.21681430222608,89.56396310349336
pn_core,30,180,210,3.25,74.73333333333333,2491.889666666667,0.5747264246516434,19.163534862841775,33.343751115075825
omega_urban,30,180,210,3.25,136.78333333333333,4765.957500000001,0.9071200138295528,31.60688753486825,34.84311563299623
ramp_inside,30,180,210,3.25,10.633333333333333,867.7281666666665,1.6581167631572205,135.3098387787162,81.60452978056425
freeway,30,180,210,3.25,309.98333333333335,33791.8275,3.9491608143839043,430.5049551355032,109.01175600838754
omega,30,180,210,3.25,457.4,39425.51316666666,1.940644113025947,167.2734806076052,86.19482546276052
pn_core,30,210,240,3.75,92.46666666666667,2769.8388333333337,0.7111021864333892,21.30106471288509,29.95499819754867
omega_urban,30,210,240,3.75,158.23333333333332,5287.302500000001,1.0493721714752984,35.0643444639042,33.41459342742785
ramp_inside,30,210,240,3.75,21.0,1157.805,3.2746506607807175,180.54318610977234,55.13357142857143
freeway,30,210,240,3.75,343.4,37594.46283333334,4.374886253001019,478.9501998791723,109.47717773247915
omega,30,210,240,3.75,522.6333333333333,44039.57033333333,2.2174143017150434,186.8498751805323,84.26475604311499
pn_core,30,240,270,4.25,129.85,5379.218833333333,0.9985935714676523,41.36814283006847,41.42640610961366
omega_urban,30,240,270,4.25,190.98333333333332,8210.851833333332,1.2665636942211338,54.45274542662903,42.992504581551614
ramp_inside,30,240,270,4.25,25.766666666666666,1539.7418333333335,4.017944382196023,240.1007910455578,59.757121604139726
freeway,30,240,270,4.25,367.71666666666664,40259.22766666668,4.684678479904945,512.8990730207873,109.48437021257313
omega,30,240,270,4.25,584.4666666666667,50009.821333333355,2.4797590641157963,212.18029156977,85.56488194365237
pn_core,30,270,300,4.75,153.46666666666667,7340.250666666668,1.1802142993292444,56.44918851516738,47.8296090356212
omega_urban,30,270,300,4.75,210.11666666666667,10036.699,1.3934521767209909,66.56140272218637,47.76726739113191
ramp_inside,30,270,300,4.75,27.4,1439.9548333333337,4.272639433590079,224.54043078425664,52.55309610705598
freeway,30,270,300,4.75,380.0,42424.72233333333,4.841167082528792,540.487287488309,111.64400614035087
omega,30,270,300,4.75,617.5166666666667,53901.376166666676,2.6199826931833683,228.69127315662172,87.28732206957979
pn_core,30,300,330,5.25,174.56666666666666,6994.573833333332,1.3424809482161713,53.790808356738694,40.068209852969254
omega_urban,30,300,330,5.25,233.93333333333334,9286.32533333333,1.5513995996236873,61.58507297282118,39.696460530065536
ramp_inside,30,300,330,5.25,26.0,1500.8671666666667,4.054329389538031,234.03884090805158,57.72566025641026
freeway,30,300,330,5.25,393.18333333333334,44049.162666666656,5.009121607190209,561.1825166179548,112.03212072400488
omega,30,300,330,5.25,653.1166666666667,54836.355166666675,2.771025391967198,232.6581762876949,83.96104090642307
pn_core,30,330,360,5.75,194.25,6303.975500000001,1.4938529168855716,48.47985682702796,32.452898326898335
omega_urban,30,330,360,5.75,269.0,8938.774833333337,1.7839547975154115,59.280186794925754,33.229646220570025
ramp_inside,30,330,360,5.75,23.25,1367.9929999999997,3.625506088721509,213.31900863778074,58.83840860215052
freeway,30,330,360,5.75,405.53333333333336,44584.64016666664,5.166459537372394,568.0044535822568,109.94075332894947
omega,30,330,360,5.75,697.7833333333333,54891.40799999999,2.96053589418661,232.89175293158144,78.66540425633552
pn_core,30,360,390,6.25,201.13333333333333,6132.193833333338,1.546788245471907,47.15879353839239,30.488202684786238
omega_urban,30,360,390,6.25,285.71666666666664,9147.295000000006,1.894816424647255,60.66305129940054,32.01526570611914
ramp_inside,30,360,390,6.25,25.833333333333332,1570.0896666666667,4.028340098579454,244.83310306833224,60.777664516129036
freeway,30,360,390,6.25,433.7,46585.27966666667,5.525300430770361,593.492427507012,107.41360310506495
omega,30,360,390,6.25,745.25,57302.66433333334,3.1619261592317165,243.12216484299356,76.89052577434866
pn_core,30,390,420,6.75,231.36666666666667,7928.202666666667,1.779293538584771,60.970752531582846,34.26683186860683
omega_urban,30,390,420,6.75,300.28333333333336,10923.884666666669,1.9914196770034183,72.44504259704478,36.378591330410174
ramp_inside,30,390,420,6.75,32.55,1808.7881666666665,5.075708524210111,282.05473167558773,55.56952892985151
freeway,30,390,420,6.75,453.03333333333336,48529.152,5.771605422688493,618.2571926458851,107.12048855860496
omega,30,390,420,6.75,785.8666666666667,61261.824833333325,3.3342534330782487,259.9199818890142,77.95447679843907
pn_core,30,420,450,7.25,246.68333333333334,9713.909333333333,1.8970842576425007,74.70348412850439,39.378052834267955
omega_urban,30,420,450,7.25,298.1666666666667,11791.25933333333,1.977382362301779,78.19729983809802,39.54586696478478
ramp_inside,30,420,450,7.25,29.866666666666667,1688.6063333333327,4.657280939777021,263.31408786897634,56.53815848214283
freeway,30,420,450,7.25,468.31666666666666,51231.011166666634,5.966313765437568,652.6786443808724,109.39395245382391
omega,30,420,450,7.25,796.35,64710.87683333331,3.3787318308006404,274.5535246509738,81.25934178857702
pn_core,30,450,480,7.75,249.98333333333332,9036.75666666667,1.9224624539139157,69.49593464960175,36.14943662910862
omega_urban,30,450,480,7.75,310.81666666666666,11439.725666666669,2.061274660400552,75.865998086655,36.80538044935386
ramp_inside,30,450,480,7.75,20.383333333333333,1168.3460000000002,3.178490284233982,182.18690480573852,57.318691741618984
freeway,30,450,480,7.75,479.96666666666664,52705.49949999997,6.1147337562572,671.4634980200989,109.81074970484056
