window_sec,start_sec,end_sec,minute,direction,cell,n_veh,k_veh_km_lane,q_veh_h_lane,speed_kph
30,0,30,0.25,E,0,9.316666666666666,4.5356441588367975,350.5946643298768,77.29765652951698
30,0,30,0.25,E,1,0.6166666666666667,0.300212582964153,37.08607175892118,123.5327027027027
30,0,30,0.25,E,2,0.0,0.0,0.0,
30,0,30,0.25,E,3,0.0,0.0,0.0,
30,0,30,0.25,E,4,0.0,0.0,0.0,
30,0,30,0.25,E,5,0.0,0.0,0.0,
30,0,30,0.25,E,6,0.0,0.0,0.0,
30,0,30,0.25,E,7,0.0,0.0,0.0,
30,0,30,0.25,E,8,0.0,0.0,0.0,
30,0,30,0.25,E,9,0.0,0.0,0.0,
30,0,30,0.25,E,10,0.0,0.0,0.0,
30,0,30,0.25,E,11,0.0,0.0,0.0,
30,0,30,0.25,E,12,0.0,0.0,0.0,
30,0,30,0.25,E,13,0.0,0.0,0.0,
30,0,30,0.25,E,14,0.0,0.0,0.0,
30,0,30,0.25,E,15,0.0,0.0,0.0,
30,0,30,0.25,E,16,0.0,0.0,0.0,
30,0,30,0.25,E,17,0.0,0.0,0.0,
30,0,30,0.25,E,18,0.0,0.0,0.0,
30,0,30,0.25,E,19,0.0,0.0,0.0,
30,0,30,0.25,E,20,0.0,0.0,0.0,
30,0,30,0.25,W,0,12.633333333333333,8.203085009284203,671.8353677633477,81.90032981530344
30,0,30,0.25,W,1,1.45,0.9415150340471315,115.49261906323369,122.66678160919544
30,0,30,0.25,W,2,0.0,0.0,0.0,
30,0,30,0.25,W,3,0.0,0.0,0.0,
30,0,30,0.25,W,4,0.0,0.0,0.0,
30,0,30,0.25,W,5,0.0,0.0,0.0,
30,0,30,0.25,W,6,0.0,0.0,0.0,
30,0,30,0.25,W,7,0.0,0.0,0.0,
30,0,30,0.25,W,8,0.0,0.0,0.0,
30,0,30,0.25,W,9,0.0,0.0,0.0,
30,0,30,0.25,W,10,0.0,0.0,0.0,
30,0,30,0.25,W,11,0.0,0.0,0.0,
30,0,30,0.25,W,12,0.0,0.0,0.0,
30,0,30,0.25,W,13,0.0,0.0,0.0,
30,0,30,0.25,W,14,0.0,0.0,0.0,
30,0,30,0.25,W,15,0.0,0.0,0.0,
30,0,30,0.25,W,16,0.0,0.0,0.0,
30,0,30,0.25,W,17,0.0,0.0,0.0,
30,0,30,0.25,W,18,0.0,0.0,0.0,
30,0,30,0.25,W,19,0.0,0.0,0.0,
30,0,30,0.25,W,20,0.0,0.0,0.0,
30,30,60,0.75,E,0,17.616666666666667,8.576343248462425,718.2303685312302,83.74552507095554
30,30,60,0.75,E,1,9.833333333333334,4.787173620239197,565.4254093439137,118.1125762711864
30,30,60,0.75,E,2,5.033333333333333,2.450383785274978,305.5246417733637,124.68440397350992
30,30,60,0.75,E,3,0.6833333333333333,0.33266734952725535,42.53135836030373,127.84951219512195
30,30,60,0.75,E,4,0.0,0.0,0.0,
30,30,60,0.75,E,5,0.0,0.0,0.0,
30,30,60,0.75,E,6,0.0,0.0,0.0,
30,30,60,0.75,E,7,0.0,0.0,0.0,
30,30,60,0.75,E,8,0.0,0.0,0.0,
30,30,60,0.75,E,9,0.0,0.0,0.0,
30,30,60,0.75,E,10,0.0,0.0,0.0,
30,30,60,0.75,E,11,0.0,0.0,0.0,
30,30,60,0.75,E,12,0.0,0.0,0.0,
30,30,60,0.75,E,13,0.0,0.0,0.0,
30,30,60,0.75,E,14,0.0,0.0,0.0,
30,30,60,0.75,E,15,0.0,0.0,0.0,
30,30,60,0.75,E,16,0.0,0.0,0.0,
30,30,60,0.75,E,17,0.0,0.0,0.0,
30,30,60,0.75,E,18,0.0,0.0,0.0,
30,30,60,0.75,E,19,0.0,0.0,0.0,
30,30,60,0.75,E,20,0.0,0.0,0.0,
30,30,60,0.75,W,0,12.5,8.116508914199411,720.1013243328824,88.72057333333332
30,30,60,0.75,W,1,10.883333333333333,7.066773761296286,848.6411773656322,120.0889127105666
30,30,60,0.75,W,2,8.066666666666666,5.237853752630019,642.7646301155381,122.71526859504135
30,30,60,0.75,W,3,1.3833333333333333,0.8982252367959804,112.75984141021793,125.53626506024099
30,30,60,0.75,W,4,0.0,0.0,0.0,
30,30,60,0.75,W,5,0.0,0.0,0.0,
30,30,60,0.75,W,6,0.0,0.0,0.0,
30,30,60,0.75,W,7,0.0,0.0,0.0,
30,30,60,0.75,W,8,0.0,0.0,0.0,
30,30,60,0.75,W,9,0.0,0.0,0.0,
30,30,60,0.75,W,10,0.0,0.0,0.0,
30,30,60,0.75,W,11,0.0,0.0,0.0,
30,30,60,0.75,W,12,0.0,0.0,0.0,
30,30,60,0.75,W,13,0.0,0.0,0.0,
30,30,60,0.75,W,14,0.0,0.0,0.0,
30,30,60,0.75,W,15,0.0,0.0,0.0,
30,30,60,0.75,W,16,0.0,0.0,0.0,
30,30,60,0.75,W,17,0.0,0.0,0.0,
30,30,60,0.75,W,18,0.0,0.0,0.0,
30,30,60,0.75,W,19,0.0,0.0,0.0,
30,30,60,0.75,W,20,0.0,0.0,0.0,
30,60,90,1.25,E,0,17.883333333333333,8.706164905960437,731.3026791944566,83.99825722273998
30,60,90,1.25,E,1,13.55,6.5965629716177405,768.2044041997304,116.4552521525215
30,60,90,1.25,E,2,11.5,5.598558979601771,675.0524966327507,120.576115942029
30,60,90,1.25,E,3,9.216666666666667,4.486952299721273,550.6321328748041,122.71851717902352
30,60,90,1.25,E,4,4.766666666666667,2.3205621277769657,293.63841422845354,126.53762237762237
30,60,90,1.25,E,5,0.9,0.4381480937370233,58.507943420101654,133.53462962962962
30,60,90,1.25,E,6,0.0,0.0,0.0,
30,60,90,1.25,E,7,0.0,0.0,0.0,
30,60,90,1.25,E,8,0.0,0.0,0.0,
30,60,90,1.25,E,9,0.0,0.0,0.0,
30,60,90,1.25,E,10,0.0,0.0,0.0,
30,60,90,1.25,E,11,0.0,0.0,0.0,
30,60,90,1.25,E,12,0.0,0.0,0.0,
30,60,90,1.25,E,13,0.0,0.0,0.0,
30,60,90,1.25,E,14,0.0,0.0,0.0,
30,60,90,1.25,E,15,0.0,0.0,0.0,
30,60,90,1.25,E,16,0.0,0.0,0.0,
30,60,90,1.25,E,17,0.0,0.0,0.0,
30,60,90,1.25,E,18,0.0,0.0,0.0,
30,60,90,1.25,E,19,0.0,0.0,0.0,
30,60,90,1.25,E,20,0.0,0.0,0.0,
30,60,90,1.25,W,0,19.083333333333332,12.391203609011098,1012.6290714302565,81.72160698689956
30,60,90,1.25,W,1,10.016666666666667,6.504029143245128,777.8069972098689,119.58848585690514
30,60,90,1.25,W,2,9.283333333333333,6.027860620278762,723.2457681063623,119.98382405745065
30,60,90,1.25,W,3,10.366666666666667,6.7312782805674685,820.3231359878376,121.86736334405147
30,60,90,1.25,W,4,7.85,5.097167598117229,626.3454736827069,122.88108280254781
30,60,90,1.25,W,5,1.4,0.9090489983903339,116.25805996390207,127.88976190476188
30,60,90,1.25,W,6,0.0,0.0,0.0,
30,60,90,1.25,W,7,0.0,0.0,0.0,
30,60,90,1.25,W,8,0.0,0.0,0.0,
30,60,90,1.25,W,9,0.0,0.0,0.0,
30,60,90,1.25,W,10,0.0,0.0,0.0,
30,60,90,1.25,W,11,0.0,0.0,0.0,
30,60,90,1.25,W,12,0.0,0.0,0.0,
30,60,90,1.25,W,13,0.0,0.0,0.0,
30,60,90,1.25,W,14,0.0,0.0,0.0,
30,60,90,1.25,W,15,0.0,0.0,0.0,
30,60,90,1.25,W,16,0.0,0.0,0.0,
30,60,90,1.25,W,17,0.0,0.0,0.0,
30,60,90,1.25,W,18,0.0,0.0,0.0,
30,60,90,1.25,W,19,0.0,0.0,0.0,
30,60,90,1.25,W,20,0.0,0.0,0.0,
30,90,120,1.75,E,0,20.4,9.931356798597925,801.3382990117327,80.68769607843139
30,90,120,1.75,E,1,13.383333333333333,6.515424435681482,739.22350421109,113.4574595267746
30,90,120,1.75,E,2,12.783333333333333,6.223325706310954,723.644256203041,116.27934810951763
30,90,120,1.75,E,3,12.566666666666666,6.117833696184159,739.7837045576399,120.92249336870024
30,90,120,1.75,E,4,11.166666666666666,5.4362819077292555,655.0646674131409,120.4986567164179
30,90,120,1.75,E,5,8.766666666666667,4.267886987142116,526.3152552846146,123.3198669201521
30,90,120,1.75,E,6,4.65,2.263765152621586,287.2834006783181,126.90512544802867
30,90,120,1.75,E,7,1.2666666666666666,0.6166528731155573,82.9584732973078,134.53026315789475
30,90,120,1.75,E,8,0.08333333333333333,0.040569267968128805,5.670772276585046,139.78000000000003
30,90,120,1.75,E,9,0.0,0.0,0.0,
30,90,120,1.75,E,10,0.0,0.0,0.0,
30,90,120,1.75,E,11,0.0,0.0,0.0,
30,90,120,1.75,E,12,0.0,0.0,0.0,
30,90,120,1.75,E,13,0.0,0.0,0.0,
30,90,120,1.75,E,14,0.0,0.0,0.0,
30,90,120,1.75,E,15,0.0,0.0,0.0,
30,90,120,1.75,E,16,0.0,0.0,0.0,
30,90,120,1.75,E,17,0.0,0.0,0.0,
30,90,120,1.75,E,18,0.0,0.0,0.0,
30,90,120,1.75,E,19,0.0,0.0,0.0,
30,90,120,1.75,E,20,0.0,0.0,0.0,
30,90,120,1.75,W,0,19.383333333333333,12.585999822951885,1054.798555824158,83.80729148753225
30,90,120,1.75,W,1,14.6,9.480082411784911,1026.2418637409141,108.2524200913242
30,90,120,1.75,W,2,10.933333333333334,7.099239796953085,826.0385397816074,116.35591463414633
30,90,120,1.75,W,3,9.933333333333334,6.449906519643426,767.9400470367004,119.06219798657716
30,90,120,1.75,W,4,9.233333333333333,5.995394584621964,718.3122293279552,119.8106678700361
30,90,120,1.75,W,5,10.35,6.720469380957112,789.4955275871482,117.47624798711757
30,90,120,1.75,W,6,7.2,4.675109134578861,560.3515465628965,119.85849537037035
30,90,120,1.75,W,7,1.2166666666666666,0.66682418646415,86.66266357157615,129.96328767123288
30,90,120,1.75,W,8,0.0,0.0,0.0,
30,90,120,1.75,W,9,0.0,0.0,0.0,
30,90,120,1.75,W,10,0.0,0.0,0.0,
30,90,120,1.75,W,11,0.0,0.0,0.0,
30,90,120,1.75,W,12,0.0,0.0,0.0,
30,90,120,1.75,W,13,0.0,0.0,0.0,
30,90,120,1.75,W,14,0.0,0.0,0.0,
30,90,120,1.75,W,15,0.0,0.0,0.0,
30,90,120,1.75,W,16,0.0,0.0,0.0,
30,90,120,1.75,W,17,0.0,0.0,0.0,
30,90,120,1.75,W,18,0.0,0.0,0.0,
30,90,120,1.75,W,19,0.0,0.0,0.0,
30,90,120,1.75,W,20,0.0,0.0,0.0,
30,120,150,2.25,E,0,22.6,11.002385472956526,909.6270872888367,82.67544247787608
30,120,150,2.25,E,1,15.866666666666667,7.7243886211317205,887.2398292845204,114.86214285714286
30,120,150,2.25,E,2,14.783333333333333,7.196988137546044,802.0444476899856,111.44167981961668
30,120,150,2.25,E,3,12.283333333333333,5.979898453697248,683.0211615380721,114.21952510176392
30,120,150,2.25,E,4,11.966666666666667,5.825746880223292,695.1094558849779,119.31679665738163
30,120,150,2.25,E,5,11.783333333333333,5.736494486519916,693.7646652856333,120.93878359264501
30,120,150,2.25,E,6,11.166666666666666,5.4362819077292555,657.6740827288511,120.97865671641792
30,120,150,2.25,E,7,8.383333333333333,4.081268357593754,504.4562906706911,123.60282306163023
30,120,150,2.25,E,8,4.483333333333333,2.18262661668533,277.8144523960212,127.28446096654275
30,120,150,2.25,E,9,1.0666666666666667,0.5192856187742515,71.63301695857,137.94531250000003
