tuning_name,demand_profile,group,case_count,mean_primary_rank_key,max_primary_rank_key,mean_vehicle_hours_total,max_vehicle_hours_total,mean_vehicle_hours_freeway,max_vehicle_hours_freeway,mean_vehicle_hours_urban,max_vehicle_hours_urban,mean_stopped_vehicle_hours,max_stopped_vehicle_hours,mean_mean_total_vehicles,max_mean_total_vehicles,mean_mean_speed_kph,max_mean_speed_kph,mean_freeway_mean_speed_kph,max_freeway_mean_speed_kph,mean_mean_decision_wall_sec,max_mean_decision_wall_sec,mean_vsl_mean_abs_step_kph,max_vsl_mean_abs_step_kph,mean_ramp_green_abs_step_sec,max_ramp_green_abs_step_sec,mean_signal_green_abs_step_sec,max_signal_green_abs_step_sec,mean_mean_vsl_kph,max_mean_vsl_kph,mean_mean_ramp_green_sec,max_mean_ramp_green_sec,mean_mean_signal_green_sec,max_mean_signal_green_sec,fallback_rows_total,seeds,rank
00_calibrated_base,urban_d_heavy,00_calibrated_base / urban_d_heavy,1,47.992361111111116,47.992361111111116,45.13611111111111,45.13611111111111,7.894444444444445,7.894444444444445,12.720833333333333,12.720833333333333,11.425,11.425,663.2244897959183,663.2244897959183,46.42698993877551,46.42698993877551,100.15449863265306,100.15449863265306,3.976314573770492,3.976314573770492,0.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,10.0,10.0,57.0,57.0,0,13,1
00_calibrated_base,urban_f_heavy,00_calibrated_base / urban_f_heavy,1,49.36805555555556,49.36805555555556,46.36944444444445,46.36944444444445,7.9319444444444445,7.9319444444444445,13.125,13.125,11.994444444444444,11.994444444444444,681.3469387755102,681.3469387755102,45.92836679591837,45.92836679591837,99.8602466122449,99.8602466122449,4.004567081967213,4.004567081967213,0.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,10.0,10.0,57.0,57.0,0,13,2
00_calibrated_base,urban_west_heavy,00_calibrated_base / urban_west_heavy,1,54.25729166666667,54.25729166666667,50.50833333333333,50.50833333333333,7.879166666666666,7.879166666666666,13.705555555555556,13.705555555555556,14.995833333333334,14.995833333333334,742.1632653061224,742.1632653061224,42.16287265306122,42.16287265306122,100.31909804081633,100.31909804081633,3.9889199344262294,3.9889199344262294,0.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,10.0,10.0,57.0,57.0,0,13,3
00_calibrated_base,urban_east_heavy,00_calibrated_base / urban_east_heavy,1,55.89930555555556,55.89930555555556,51.875,51.875,7.981944444444444,7.981944444444444,13.959722222222222,13.959722222222222,16.09722222222222,16.09722222222222,762.2448979591836,762.2448979591836,42.43439742857143,42.43439742857143,99.83619279591838,99.83619279591838,4.013797131147541,4.013797131147541,0.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,10.0,10.0,57.0,57.0,0,13,4
00_calibrated_base,urban_north_heavy,00_calibrated_base / urban_north_heavy,1,56.159375000000004,56.159375000000004,52.01111111111111,52.01111111111111,7.875,7.875,12.305555555555555,12.305555555555555,16.593055555555555,16.593055555555555,764.2448979591836,764.2448979591836,39.22670614285714,39.22670614285714,100.19885234693878,100.19885234693878,3.9596217213114753,3.9596217213114753,0.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,10.0,10.0,57.0,57.0,0,13,5
00_calibrated_base,sym,00_calibrated_base / sym,1,62.96041666666667,62.96041666666667,58.40555555555556,58.40555555555556,7.923611111111111,7.923611111111111,14.822222222222223,14.822222222222223,18.219444444444445,18.219444444444445,858.204081632653,858.204081632653,39.92654220408163,39.92654220408163,100.12957144897959,100.12957144897959,3.774758573770492,3.774758573770492,0.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,10.0,10.0,57.0,57.0,0,13,6
00_calibrated_base,fw_wb_heavy,00_calibrated_base / fw_wb_heavy,1,63.196527777777774,63.196527777777774,58.52638888888889,58.52638888888889,8.834722222222222,8.834722222222222,14.594444444444445,14.594444444444445,18.680555555555557,18.680555555555557,859.9795918367347,859.9795918367347,36.83730479591837,36.83730479591837,79.51087322448979,79.51087322448979,4.062991229508197,4.062991229508197,0.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,10.0,10.0,57.0,57.0,0,13,7
00_calibrated_base,fw_eb_heavy,00_calibrated_base / fw_eb_heavy,1,63.509027777777774,63.509027777777774,58.8,58.8,8.897222222222222,8.897222222222222,14.623611111111112,14.623611111111112,18.836111111111112,18.836111111111112,864.0,864.0,36.90807855102041,36.90807855102041,76.90875548979592,76.90875548979592,4.030619180327869,4.030619180327869,0.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,10.0,10.0,57.0,57.0,0,13,8
00_calibrated_base,d_ramp_bias,00_calibrated_base / d_ramp_bias,1,71.21770833333333,71.21770833333333,64.32638888888889,64.32638888888889,5.954166666666667,5.954166666666667,15.541666666666666,15.541666666666666,27.565277777777776,27.565277777777776,945.204081632653,945.204081632653,30.851984755102038,30.851984755102038,92.28884465306123,92.28884465306123,4.332560655737705,4.332560655737705,0.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,10.0,10.0,57.0,57.0,0,13,9
00_calibrated_base,f_ramp_bias,00_calibrated_base / f_ramp_bias,1,72.59513888888888,72.59513888888888,65.6875,65.6875,5.993055555555555,5.993055555555555,17.630555555555556,17.630555555555556,27.630555555555556,27.630555555555556,965.204081632653,965.204081632653,30.80777173469388,30.80777173469388,93.42808848979591,93.42808848979591,3.6943570655737705,3.6943570655737705,0.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,10.0,10.0,57.0,57.0,0,13,10
