case_id,returncode,elapsed_sec,timed_out,case_timeout_sec,state_csv,segment_csv,ramp_csv,signal_csv,urban_csv,stdout,stderr
ramp_g1_seed13,0,119.164,False,2400.0,evaluation\runs\calibration_ramp_vector_20260626\ramp_g1_seed13\state.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g1_seed13\segments.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g1_seed13\ramps.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g1_seed13\signal_discharge.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g1_seed13\urban_production.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g1_seed13\stdout.txt,evaluation\runs\calibration_ramp_vector_20260626\ramp_g1_seed13\stderr.txt
ramp_g2_seed13,0,134.767,False,2400.0,evaluation\runs\calibration_ramp_vector_20260626\ramp_g2_seed13\state.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g2_seed13\segments.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g2_seed13\ramps.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g2_seed13\signal_discharge.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g2_seed13\urban_production.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g2_seed13\stdout.txt,evaluation\runs\calibration_ramp_vector_20260626\ramp_g2_seed13\stderr.txt
ramp_g4_seed13,0,120.696,False,2400.0,evaluation\runs\calibration_ramp_vector_20260626\ramp_g4_seed13\state.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g4_seed13\segments.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g4_seed13\ramps.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g4_seed13\signal_discharge.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g4_seed13\urban_production.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g4_seed13\stdout.txt,evaluation\runs\calibration_ramp_vector_20260626\ramp_g4_seed13\stderr.txt
ramp_g6_seed13,0,131.87,False,2400.0,evaluation\runs\calibration_ramp_vector_20260626\ramp_g6_seed13\state.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g6_seed13\segments.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g6_seed13\ramps.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g6_seed13\signal_discharge.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g6_seed13\urban_production.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g6_seed13\stdout.txt,evaluation\runs\calibration_ramp_vector_20260626\ramp_g6_seed13\stderr.txt
ramp_g8_seed13,0,131.695,False,2400.0,evaluation\runs\calibration_ramp_vector_20260626\ramp_g8_seed13\state.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g8_seed13\segments.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g8_seed13\ramps.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g8_seed13\signal_discharge.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g8_seed13\urban_production.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g8_seed13\stdout.txt,evaluation\runs\calibration_ramp_vector_20260626\ramp_g8_seed13\stderr.txt
ramp_g1_seed29,0,114.815,False,2400.0,evaluation\runs\calibration_ramp_vector_20260626\ramp_g1_seed29\state.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g1_seed29\segments.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g1_seed29\ramps.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g1_seed29\signal_discharge.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g1_seed29\urban_production.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g1_seed29\stdout.txt,evaluation\runs\calibration_ramp_vector_20260626\ramp_g1_seed29\stderr.txt
ramp_g2_seed29,0,109.272,False,2400.0,evaluation\runs\calibration_ramp_vector_20260626\ramp_g2_seed29\state.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g2_seed29\segments.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g2_seed29\ramps.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g2_seed29\signal_discharge.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g2_seed29\urban_production.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g2_seed29\stdout.txt,evaluation\runs\calibration_ramp_vector_20260626\ramp_g2_seed29\stderr.txt
ramp_g4_seed29,0,109.595,False,2400.0,evaluation\runs\calibration_ramp_vector_20260626\ramp_g4_seed29\state.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g4_seed29\segments.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g4_seed29\ramps.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g4_seed29\signal_discharge.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g4_seed29\urban_production.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g4_seed29\stdout.txt,evaluation\runs\calibration_ramp_vector_20260626\ramp_g4_seed29\stderr.txt
ramp_g6_seed29,0,109.195,False,2400.0,evaluation\runs\calibration_ramp_vector_20260626\ramp_g6_seed29\state.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g6_seed29\segments.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g6_seed29\ramps.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g6_seed29\signal_discharge.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g6_seed29\urban_production.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g6_seed29\stdout.txt,evaluation\runs\calibration_ramp_vector_20260626\ramp_g6_seed29\stderr.txt
ramp_g8_seed29,0,108.962,False,2400.0,evaluation\runs\calibration_ramp_vector_20260626\ramp_g8_seed29\state.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g8_seed29\segments.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g8_seed29\ramps.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g8_seed29\signal_discharge.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g8_seed29\urban_production.csv,evaluation\runs\calibration_ramp_vector_20260626\ramp_g8_seed29\stdout.txt,evaluation\runs\calibration_ramp_vector_20260626\ramp_g8_seed29\stderr.txt
