panel,series,sim_sec,value,unit,kind
cell_speed,E7,1140.0,110.395628,km/h,observed_30s
cell_speed,E7,1170.0,116.461936,km/h,observed_30s
cell_speed,E7,1200.0,109.932457,km/h,observed_30s
cell_speed,E7,1230.0,108.098836,km/h,observed_30s
cell_speed,E7,1260.0,105.215779,km/h,observed_30s
cell_speed,E7,1290.0,91.325429,km/h,observed_30s
cell_speed,E7,1320.0,98.985188,km/h,observed_30s
cell_speed,E7,1350.0,65.294962,km/h,observed_30s
cell_speed,E7,1380.0,54.725607,km/h,observed_30s
cell_speed,E7,1410.0,47.994952,km/h,observed_30s
cell_speed,E7,1440.0,32.215881,km/h,observed_30s
cell_speed,E7,1470.0,22.317283,km/h,observed_30s
cell_speed,E7,1500.0,19.300656,km/h,observed_30s
cell_speed,E7,1530.0,21.164354,km/h,observed_30s
cell_speed,E7,1560.0,18.98481,km/h,observed_30s
cell_speed,E7,1590.0,13.356703,km/h,observed_30s
cell_speed,E7,1620.0,16.716475,km/h,observed_30s
cell_speed,E7,1650.0,16.588697,km/h,observed_30s
cell_speed,E7,1680.0,16.29868,km/h,observed_30s
cell_speed,E7,1710.0,13.908761,km/h,observed_30s
cell_speed,E7,1740.0,15.989001,km/h,observed_30s
cell_speed,E7,1770.0,15.740861,km/h,observed_30s
cell_speed,E7,1800.0,12.500655,km/h,observed_30s
cell_speed,E7,1830.0,14.787983,km/h,observed_30s
cell_speed,E7,1860.0,12.399482,km/h,observed_30s
cell_speed,E7,1890.0,12.34448,km/h,observed_30s
cell_speed,E7,1920.0,10.588715,km/h,observed_30s
cell_speed,E7,1950.0,9.458644,km/h,observed_30s
cell_speed,E7,1980.0,9.667638,km/h,observed_30s
cell_speed,E7,2010.0,9.406372,km/h,observed_30s
cell_speed,E7,2040.0,10.829077,km/h,observed_30s
cell_speed,E7,2070.0,10.709628,km/h,observed_30s
cell_speed,E7,2100.0,10.702023,km/h,observed_30s
cell_speed,E7,2130.0,10.275061,km/h,observed_30s
cell_speed,E7,2160.0,10.833106,km/h,observed_30s
cell_speed,E7,2190.0,10.778601,km/h,observed_30s
cell_speed,E7,2220.0,9.337051,km/h,observed_30s
cell_speed,E7,2250.0,8.678886,km/h,observed_30s
cell_speed,E7,2280.0,8.181449,km/h,observed_30s
cell_speed,E7,2310.0,7.815229,km/h,observed_30s
cell_speed,E7,2340.0,5.942234,km/h,observed_30s
cell_speed,E7,2370.0,7.147978,km/h,observed_30s
cell_speed,E7,2400.0,5.758935,km/h,observed_30s
cell_speed,E7,2430.0,5.553714,km/h,observed_30s
cell_speed,E7,2460.0,6.139313,km/h,observed_30s
cell_speed,E7,2490.0,5.602335,km/h,observed_30s
cell_speed,E7,2520.0,6.389057,km/h,observed_30s
cell_speed,E7,2550.0,5.880746,km/h,observed_30s
cell_speed,E7,2580.0,7.04249,km/h,observed_30s
cell_speed,E7,2610.0,5.116829,km/h,observed_30s
cell_speed,E7,2640.0,6.211518,km/h,observed_30s
cell_speed,E7,2670.0,5.184119,km/h,observed_30s
cell_speed,E7,2700.0,6.710672,km/h,observed_30s
cell_speed,E7,2730.0,7.001763,km/h,observed_30s
cell_speed,E7,2760.0,6.158345,km/h,observed_30s
cell_speed,E7,2790.0,5.476939,km/h,observed_30s
cell_speed,E7,2820.0,5.521389,km/h,observed_30s
cell_speed,E7,2850.0,5.942217,km/h,observed_30s
cell_speed,E7,2880.0,4.727321,km/h,observed_30s
cell_speed,E7,2910.0,4.038835,km/h,observed_30s
cell_speed,E7,2940.0,3.997724,km/h,observed_30s
cell_speed,E7,2970.0,4.128689,km/h,observed_30s
cell_speed,E7,3000.0,3.572307,km/h,observed_30s
cell_speed,E7,3030.0,3.611102,km/h,observed_30s
cell_speed,E7,3060.0,3.989148,km/h,observed_30s
cell_speed,E7,3090.0,3.856592,km/h,observed_30s
cell_speed,E7,3120.0,3.790842,km/h,observed_30s
cell_speed,E7,3150.0,3.954468,km/h,observed_30s
cell_speed,E7,3180.0,3.408525,km/h,observed_30s
cell_speed,E7,3210.0,3.157631,km/h,observed_30s
cell_speed,E7,3240.0,3.414795,km/h,observed_30s
cell_speed,E7,3270.0,2.824026,km/h,observed_30s
cell_speed,E7,3300.0,2.703471,km/h,observed_30s
cell_speed,E7,3330.0,2.730814,km/h,observed_30s
cell_speed,E7,3360.0,2.542132,km/h,observed_30s
cell_speed,E7,3390.0,3.006282,km/h,observed_30s
cell_speed,E7,3420.0,3.322608,km/h,observed_30s
cell_speed,E7,3450.0,2.726442,km/h,observed_30s
cell_speed,E7,3480.0,4.270176,km/h,observed_30s
cell_speed,E7,3510.0,3.986928,km/h,observed_30s
cell_speed,E7,3540.0,2.98887,km/h,observed_30s
cell_speed,E7,3570.0,2.693061,km/h,observed_30s
cell_speed,E7,3600.0,1.52232,km/h,observed_30s
cell_speed,E7,3630.0,1.310362,km/h,observed_30s
cell_speed,E7,3660.0,0.601833,km/h,observed_30s
cell_speed,E7,3690.0,0.676404,km/h,observed_30s
cell_speed,E7,3720.0,0.84034,km/h,observed_30s
cell_speed,E7,3750.0,0.653923,km/h,observed_30s
cell_speed,E7,3780.0,0.668263,km/h,observed_30s
