run,model_link,index,sim_sec,count,stopped_count,mean_speed_kph
reference,FW_E,0,900.0,32.0,0.0,75.479933
reference,FW_E,0,930.0,53.0,0.0,74.106753
reference,FW_E,0,960.0,34.0,0.0,79.563586
reference,FW_E,0,990.0,33.0,0.0,76.106563
reference,FW_E,0,1020.0,33.0,0.0,76.410172
reference,FW_E,0,1050.0,43.0,0.0,66.516565
reference,FW_E,0,1080.0,47.0,0.0,79.149392
reference,FW_E,0,1110.0,40.0,1.0,74.478315
reference,FW_E,0,1140.0,42.0,2.0,68.808299
reference,FW_E,0,1170.0,47.0,0.0,79.068617
reference,FW_E,0,1200.0,37.0,0.0,82.892655
reference,FW_E,0,1230.0,54.0,0.0,68.296662
reference,FW_E,0,1260.0,47.0,0.0,79.600389
reference,FW_E,0,1290.0,41.0,0.0,87.278156
reference,FW_E,0,1320.0,33.0,0.0,77.798266
reference,FW_E,0,1350.0,41.0,0.0,77.85454
reference,FW_E,0,1380.0,39.0,0.0,76.626872
reference,FW_E,0,1410.0,42.0,0.0,69.036834
reference,FW_E,0,1440.0,47.0,0.0,79.23469
reference,FW_E,0,1470.0,42.0,0.0,81.467131
reference,FW_E,0,1500.0,47.0,0.0,75.180797
reference,FW_E,0,1530.0,43.0,0.0,75.072612
reference,FW_E,0,1560.0,38.0,0.0,76.62031
reference,FW_E,0,1590.0,45.0,0.0,72.15131
reference,FW_E,0,1620.0,42.0,0.0,76.047076
reference,FW_E,0,1650.0,47.0,0.0,63.04878
reference,FW_E,0,1680.0,50.0,0.0,69.871884
reference,FW_E,0,1710.0,51.0,0.0,72.777744
reference,FW_E,0,1740.0,50.0,0.0,68.281259
reference,FW_E,0,1770.0,58.0,0.0,69.755507
reference,FW_E,0,1800.0,61.0,0.0,68.560689
reference,FW_E,0,1830.0,35.0,0.0,85.730793
reference,FW_E,0,1860.0,55.0,0.0,69.321568
reference,FW_E,0,1890.0,46.0,0.0,70.534401
reference,FW_E,0,1920.0,57.0,0.0,66.66779
reference,FW_E,0,1950.0,62.0,0.0,68.384583
reference,FW_E,0,1980.0,48.0,0.0,65.185564
reference,FW_E,0,2010.0,49.0,0.0,76.416582
reference,FW_E,0,2040.0,51.0,0.0,70.999776
reference,FW_E,0,2070.0,54.0,0.0,76.722991
reference,FW_E,0,2100.0,40.0,0.0,65.234876
reference,FW_E,0,2130.0,53.0,0.0,71.554528
reference,FW_E,0,2160.0,52.0,0.0,65.02749
reference,FW_E,0,2190.0,55.0,0.0,65.208457
reference,FW_E,0,2220.0,44.0,0.0,68.571668
reference,FW_E,0,2250.0,47.0,0.0,71.882607
reference,FW_E,0,2280.0,35.0,0.0,80.457953
reference,FW_E,0,2310.0,48.0,0.0,65.503354
reference,FW_E,0,2340.0,53.0,0.0,71.014901
reference,FW_E,0,2370.0,59.0,0.0,65.884926
reference,FW_E,0,2400.0,48.0,0.0,74.017497
reference,FW_E,0,2430.0,47.0,0.0,71.153669
reference,FW_E,0,2460.0,48.0,0.0,66.978694
reference,FW_E,0,2490.0,55.0,0.0,75.46458
reference,FW_E,0,2520.0,32.0,0.0,83.264811
