time_s,road,cell,n_veh,rho_veh_per_km_lane,v_kmh,stopped_veh,speed_eligible_n_ge5,snapshot_basis
0,FW_E,0,0,0.0,,0,False,empty_initialization_not_FZP_frame
0,FW_E,1,0,0.0,,0,False,empty_initialization_not_FZP_frame
0,FW_E,2,0,0.0,,0,False,empty_initialization_not_FZP_frame
0,FW_E,3,0,0.0,,0,False,empty_initialization_not_FZP_frame
0,FW_E,4,0,0.0,,0,False,empty_initialization_not_FZP_frame
0,FW_E,5,0,0.0,,0,False,empty_initialization_not_FZP_frame
0,FW_E,6,0,0.0,,0,False,empty_initialization_not_FZP_frame
0,FW_E,7,0,0.0,,0,False,empty_initialization_not_FZP_frame
0,FW_E,8,0,0.0,,0,False,empty_initialization_not_FZP_frame
0,FW_E,9,0,0.0,,0,False,empty_initialization_not_FZP_frame
0,FW_E,10,0,0.0,,0,False,empty_initialization_not_FZP_frame
0,FW_E,11,0,0.0,,0,False,empty_initialization_not_FZP_frame
0,FW_E,12,0,0.0,,0,False,empty_initialization_not_FZP_frame
0,FW_E,13,0,0.0,,0,False,empty_initialization_not_FZP_frame
0,FW_E,14,0,0.0,,0,False,empty_initialization_not_FZP_frame
0,FW_E,15,0,0.0,,0,False,empty_initialization_not_FZP_frame
0,FW_E,16,0,0.0,,0,False,empty_initialization_not_FZP_frame
0,FW_E,17,0,0.0,,0,False,empty_initialization_not_FZP_frame
0,FW_E,18,0,0.0,,0,False,empty_initialization_not_FZP_frame
0,FW_E,19,0,0.0,,0,False,empty_initialization_not_FZP_frame
0,FW_E,20,0,0.0,,0,False,empty_initialization_not_FZP_frame
0,FW_E,21,0,0.0,,0,False,empty_initialization_not_FZP_frame
0,FW_E,22,0,0.0,,0,False,empty_initialization_not_FZP_frame
0,FW_E,23,0,0.0,,0,False,empty_initialization_not_FZP_frame
0,FW_E,24,0,0.0,,0,False,empty_initialization_not_FZP_frame
0,FW_E,25,0,0.0,,0,False,empty_initialization_not_FZP_frame
0,FW_E,26,0,0.0,,0,False,empty_initialization_not_FZP_frame
