sim_sec,interval_sec,total_signal_discharge,total_signal_discharge_rate_vph,urban_vehicles,boundary_vehicles,ramp_vehicles,mean_speed_kph
1,1.000000,0,0.000000,0,6,0,54.644834
15,15.000000,0,0.000000,0,72,0,54.447923
30,15.000000,3,720.000000,0,126,0,54.042518
45,15.000000,29,6960.000000,8,175,8,43.492930
60,15.000000,26,6240.000000,28,229,11,39.280008
75,15.000000,45,10800.000000,54,283,9,37.823587
90,15.000000,50,12000.000000,93,320,11,34.640168
105,15.000000,51,12240.000000,126,358,7,29.577286
120,15.000000,50,12000.000000,146,394,22,26.331693
135,15.000000,50,12000.000000,159,420,30,22.340026
150,15.000000,36,8640.000000,193,442,43,21.851712
165,15.000000,62,14880.000000,228,449,56,19.749541
180,15.000000,38,9120.000000,250,473,55,18.203951
195,15.000000,46,11040.000000,261,536,49,17.143287
210,15.000000,57,13680.000000,294,569,50,16.567694
225,15.000000,42,10080.000000,325,596,52,14.221294
240,15.000000,45,10800.000000,350,618,50,12.091472
255,15.000000,48,11520.000000,374,630,54,11.311225
270,15.000000,92,22080.000000,405,656,60,11.202102
285,15.000000,70,16800.000000,435,683,61,10.579787
300,15.000000,54,12960.000000,454,698,67,10.166777
315,15.000000,48,11520.000000,469,725,55,10.247551
330,15.000000,39,9360.000000,483,747,51,9.936904
345,15.000000,40,9600.000000,497,751,50,8.387975
360,15.000000,16,3840.000000,506,755,53,7.681621
375,15.000000,28,6720.000000,494,756,57,8.104165
390,15.000000,54,12960.000000,507,751,63,8.240444
405,15.000000,49,11760.000000,537,785,66,7.817424
420,15.000000,67,16080.000000,550,793,71,7.322404
435,15.000000,34,8160.000000,564,792,64,7.884313
450,15.000000,39,9360.000000,574,811,58,7.930369
465,15.000000,32,7680.000000,583,833,57,6.240968
480,15.000000,30,7200.000000,575,847,54,5.513746
495,15.000000,23,5520.000000,570,844,55,5.649911
510,15.000000,57,13680.000000,581,833,67,6.101168
525,15.000000,26,6240.000000,596,845,72,5.542620
540,15.000000,25,6000.000000,621,856,73,5.440957
555,15.000000,40,9600.000000,628,847,64,6.108252
570,15.000000,38,9120.000000,641,866,56,6.683765
585,15.000000,44,10560.000000,638,891,55,6.040140
600,15.000000,32,7680.000000,635,877,54,5.338605
615,15.000000,23,5520.000000,633,870,61,5.055111
630,15.000000,42,10080.000000,640,870,63,5.138472
645,15.000000,31,7440.000000,659,885,69,4.561732
660,15.000000,33,7920.000000,672,897,71,4.377158
675,15.000000,45,10800.000000,674,888,75,4.363833
690,15.000000,48,11520.000000,687,906,58,5.426873
705,15.000000,22,5280.000000,687,906,57,5.174259
720,15.000000,33,7920.000000,696,889,55,4.754064
735,15.000000,37,8880.000000,692,891,57,4.788351
750,15.000000,33,7920.000000,692,878,62,4.451907
765,15.000000,32,7680.000000,691,878,63,4.328827
780,15.000000,40,9600.000000,696,890,72,3.877863
795,15.000000,40,9600.000000,698,907,78,3.422592
810,15.000000,44,10560.000000,696,932,51,4.378134
825,15.000000,41,9840.000000,698,928,55,4.895471
840,15.000000,29,6960.000000,696,922,52,4.283610
855,15.000000,39,9360.000000,695,924,56,3.528873
870,15.000000,46,11040.000000,688,912,59,3.316941
885,15.000000,44,10560.000000,686,931,61,3.460789
900,15.000000,35,8400.000000,693,957,62,3.057296
