family,cutoff,screen_best,screen_delta,freeway_delta,candidate_count,actual_controller_invoked
boundary,870.1,hold,0.0,0.0,9,False
boundary,1800.1,restrict_FW_E__seg0,-0.0033300497732113854,-0.0033300497732113854,9,False
boundary,2700.1,hold,0.0,0.0,9,False
boundary,4500.1,restrict_FW_E__seg10,-0.04056012257274233,-0.04056012257274233,9,False
boundary,6300.1,restrict_FW_E__seg0,-0.08610693555425541,-0.08610693555425541,9,False
hadi,870.1,restrict_FW_W__seg0,-0.004171330557596775,-0.004171330557596775,9,False
hadi,1800.1,restrict_FW_W__seg0,-0.004053323179192603,-0.004053323179192603,9,False
hadi,2700.1,hold,0.0,0.0,9,False
hadi,4500.1,hold,0.0,0.0,9,False
hadi,6300.1,restrict_FW_W__seg0,-0.0017803298803755752,-0.0017803298803755752,9,False
wang,870.1,hold,0.0,0.0,9,False
wang,1800.1,restrict_FW_E__seg0,-0.0013761250667698732,-0.0013761250667698732,9,False
wang,2700.1,hold,0.0,0.0,9,False
wang,4500.1,restrict_FW_E__seg0,-0.00011626012422993881,-0.00011626012422993881,9,False
wang,6300.1,restrict_FW_W__seg0,-0.00012233508164172235,-0.00012233508164172235,9,False
