input_no,time_int,start_sec,before_vph,volume_vph
114,1-1,0,109.76,54.88
114,1-2,900,156.8,78.4
114,1-3,1800,164.64,82.32
114,1-4,2700,141.12,70.56
114,1-5,3600,109.76,54.88
114,1-6,4500,78.4,39.2
194,1-1,0,54.32,27.16
194,1-2,900,77.6,38.8
194,1-3,1800,81.48,40.74
194,1-4,2700,69.84,34.92
194,1-5,3600,54.32,27.16
194,1-6,4500,38.8,19.4
282,1-1,0,87.92,43.96
282,1-2,900,125.6,62.8
282,1-3,1800,131.88,65.94
282,1-4,2700,113.04,56.52
282,1-5,3600,87.92,43.96
282,1-6,4500,62.8,31.4
1013,1-1,0,585.76,292.88
1013,1-2,900,836.8,418.4
1013,1-3,1800,878.64,439.32
1013,1-4,2700,753.12,376.56
1013,1-5,3600,585.76,292.88
1013,1-6,4500,418.4,209.2
1023,1-1,0,416.08,208.04
1023,1-2,900,594.4,297.2
1023,1-3,1800,624.12,312.06
1023,1-4,2700,534.96,267.48
1023,1-5,3600,416.08,208.04
1023,1-6,4500,297.2,148.6
1032,1-1,0,1250.48,625.24
1032,1-2,900,1786.4,893.2
1032,1-3,1800,1875.72,937.86
1032,1-4,2700,1607.76,803.88
1032,1-5,3600,1250.48,625.24
1032,1-6,4500,893.2,446.6
1033,1-1,0,535.92,267.96
1033,1-2,900,765.6,382.8
1033,1-3,1800,803.88,401.94
1033,1-4,2700,689.04,344.52
1033,1-5,3600,535.92,267.96
1033,1-6,4500,382.8,191.4
1052,1-1,0,207.2,103.6
1052,1-2,900,296.0,148.0
1052,1-3,1800,310.8,155.4
1052,1-4,2700,266.4,133.2
1052,1-5,3600,207.2,103.6
1052,1-6,4500,148.0,74.0
1053,1-1,0,506.8,253.4
1053,1-2,900,724.0,362.0
1053,1-3,1800,760.2,380.1
1053,1-4,2700,651.6,325.8
1053,1-5,3600,506.8,253.4
1053,1-6,4500,362.0,181.0
1054,1-1,0,499.52,249.76
1054,1-2,900,713.6,356.8
1054,1-3,1800,749.28,374.64
1054,1-4,2700,642.24,321.12
1054,1-5,3600,499.52,249.76
1054,1-6,4500,356.8,178.4
1064,1-1,0,269.36,134.68
1064,1-2,900,384.8,192.4
1064,1-3,1800,404.04,202.02
1064,1-4,2700,346.32,173.16
1064,1-5,3600,269.36,134.68
1064,1-6,4500,192.4,96.2
1065,1-1,0,890.4,445.2
1065,1-2,900,1272.0,636.0
1065,1-3,1800,1335.6,667.8
1065,1-4,2700,1144.8,572.4
1065,1-5,3600,890.4,445.2
1065,1-6,4500,636.0,318.0
1074,1-1,0,596.96,298.48
1074,1-2,900,852.8,426.4
1074,1-3,1800,895.44,447.72
1074,1-4,2700,767.52,383.76
1074,1-5,3600,596.96,298.48
1074,1-6,4500,426.4,213.2
1082,1-1,0,897.12,448.56
1082,1-2,900,1281.6,640.8
1082,1-3,1800,1345.68,672.84
1082,1-4,2700,1153.44,576.72
1082,1-5,3600,897.12,448.56
1082,1-6,4500,640.8,320.4
1083,1-1,0,280.0,140.0
1083,1-2,900,400.0,200.0
1083,1-3,1800,420.0,210.0
1083,1-4,2700,360.0,180.0
1083,1-5,3600,280.0,140.0
1083,1-6,4500,200.0,100.0
1085,1-1,0,280.0,140.0
1085,1-2,900,400.0,200.0
1085,1-3,1800,420.0,210.0
1085,1-4,2700,360.0,180.0
