kind,id,dsd_no,sc_no,link,lane,speed_kph,p1_green,p2_green,p3_green,p4_green,offset,rate_vph,green_sec,metadata
vsl,RW_FW_E_S0,39,,74,1,80.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_E_S0,43,,74,1,80.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_E_S0,38,,74,2,80.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_E_S0,44,,74,2,80.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_E_S0,37,,74,3,80.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_E_S0,45,,74,3,80.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_E_S0,36,,74,4,80.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_E_S0,46,,74,4,80.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_E_S2,47,,74,1,80.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_E_S2,48,,74,2,80.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_E_S2,49,,74,3,80.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_E_S2,50,,74,4,80.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_E_S5,51,,2,1,80.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_E_S5,52,,2,2,80.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_E_S5,53,,2,3,80.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_E_S5,54,,2,4,80.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_E_S7,55,,2,1,80.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
