run,t,L1_ramp_stop,L2_ramp_stop,L1_ramp_n,L2_ramp_n,L1_ramp_q_up_m,L1_ramp_qlen_m,sig_n,sig_stop,unk_n,unk_stop,n32,stop32,qtail32_m,conn_RDW_fzp,meter_R_D_W,meter_R_D_E,g_SC1001_p1,g_SC1001_p2,g_SC1001_p3,g_SC1001_p4,rc_R_D_W,lc_32,ls_32,lt_32,md_ramp_obs_R_D_W_queue_veh,pred_ramp_queue_R_D_W,N_UF_star
b0,900,0.0,0.0,11.0,8.0,,0.0,141.0,89.0,1.0,0.0,161.0,89.0,1543.72998046875,5,1654.5841291622282,1800.0,21.0,21.0,45.0,51.0,5,161,82,1543.73243,5.0,0.317144401224857,7054.584129162228
b0,1050,0.0,0.0,21.0,15.0,,0.0,146.0,89.0,1.0,1.0,187.0,90.0,1500.9000244140625,6,1800.0,1800.0,21.0,21.0,39.0,57.0,6,186,78,1501.115386,6.0,0.3161035975008097,7200.0
b0,1200,0.0,1.0,21.0,20.0,,0.0,149.0,85.0,3.0,1.0,196.0,88.0,1500.47998046875,13,1800.0,1800.0,21.0,21.0,39.0,57.0,14,196,75,1505.492336,14.0,0.3017422406482855,7200.0
b0,1350,0.0,2.0,18.0,12.0,,0.0,152.0,101.0,4.0,2.0,188.0,105.0,1483.22998046875,5,1615.8882649804632,1800.0,24.0,20.46153846153846,38.0,55.53846153846154,5,188,89,1485.685179,5.0,0.365056989172603,7015.888264980464
b0,1500,0.0,1.0,19.0,14.0,,0.0,162.0,104.0,1.0,1.0,199.0,107.0,1469.8800048828125,12,1800.0,1800.0,24.0,20.46153846153846,38.0,55.53846153846154,12,199,95,1464.800097,12.0,0.3169160148637771,7200.0
b0,1650,0.0,0.0,18.0,12.0,,0.0,171.0,118.0,1.0,1.0,204.0,119.0,1451.68994140625,6,1563.3040414222664,1800.0,29.0,20.0,36.11538461538462,52.88461538461539,6,203,106,1451.689184,6.0,0.3116799818514044,6963.304041422267
b0,1800,0.0,0.0,19.0,12.0,,0.0,176.0,118.0,4.0,3.0,214.0,121.0,1430.0400390625,17,0.0,792.0362976942874,52.0,20.0,22.0,43.99999999999999,17,214,109,1430.040917,17.0,20.985722190666376,1800.0
b0,1950,0.0,0.0,14.0,13.0,,0.0,199.0,162.0,4.0,3.0,232.0,165.0,1428.75,64,0.0,769.8730266884659,40.0,20.0,44.0,33.99999999999999,63,232,157,1430.322835,63.0,66.43772812145536,3000.0
b0,2100,0.0,0.0,20.0,15.0,,0.0,212.0,155.0,4.0,1.0,254.0,156.0,1347.8599853515625,106,0.0,711.3018420049992,44.0,20.0,35.79591836734694,38.20408163265306,104,255,142,1355.112599,104.0,107.89955382873012,1440.0
b0,2250,8.0,11.0,29.0,23.0,951.989990234375,77.010009765625,226.0,174.0,1.0,1.0,280.0,194.0,951.989990234375,140,300.0,1011.3018420049992,44.0,20.0,35.79591836734694,38.20408163265306,140,280,181,951.842002,140.0,129.93392895307213,2640.0
b0,2400,17.0,28.0,43.0,44.0,746.010009765625,282.989990234375,231.0,180.0,5.0,3.0,325.0,229.0,746.010009765625,119,600.0,1311.3018420049991,44.0,20.0,35.79591836734694,38.20408163265306,119,324,199,752.562993,119.0,97.48667535230824,3840.0
b0,2550,24.0,25.0,49.0,50.0,712.3200073242188,316.67999267578125,204.0,161.0,8.0,7.0,314.0,218.0,712.3200073242188,110,900.0,1611.3018420049991,44.0,20.0,35.79591836734694,38.20408163265306,109,314,195,717.651599,109.0,74.64864011948458,4440.0
b0,2700,12.0,13.0,42.0,43.0,679.739990234375,349.260009765625,220.0,167.0,10.0,9.0,317.0,202.0,673.72998046875,78,1200.0,1800.0,44.0,20.0,35.79591836734694,38.20408163265306,78,317,178,673.729276,78.0,31.256807484282017,4800.0
b0,2850,0.0,4.0,21.0,25.0,,0.0,216.0,169.0,10.0,6.0,273.0,179.0,941.1199951171876,48,1500.0,1800.0,44.0,20.0,35.79591836734694,38.20408163265306,46,275,171,947.034801,46.0,0.3225232646091304,5100.0
b0,3000,2.0,0.0,13.0,8.0,1316.6099853515625,-287.6099853515625,232.0,186.0,7.0,4.0,260.0,192.0,1273.4000244140625,6,1800.0,1800.0,44.0,20.0,29.795918367346943,44.20408163265306,6,260,174,1273.386528,6.0,0.324129143760145,5400.0
b0,3150,0.0,0.0,16.0,13.0,,0.0,230.0,178.0,4.0,4.0,264.0,182.0,1337.030029296875,9,1800.0,1800.0,44.0,20.0,29.795918367346943,44.20408163265305,8,263,167,1337.032102,8.0,0.3676625820724941,5400.0
b0,3300,0.0,0.0,17.0,14.0,,0.0,233.0,184.0,6.0,5.0,272.0,189.0,1290.4599609375,7,1800.0,1800.0,44.0,20.0,29.795918367346943,44.20408163265305,7,272,179,1280.047128,7.0,0.3623646354909482,5400.0
b0,3450,0.0,0.0,15.0,12.0,,0.0,226.0,185.0,3.0,2.0,257.0,187.0,1336.25,10,1800.0,1800.0,44.0,20.0,29.795918367346943,44.20408163265305,9,258,166,1336.24722,9.0,0.3583866208343056,5400.0
b0,3600,3.0,0.0,24.0,20.0,1309.9200439453125,-280.9200439453125,240.0,189.0,3.0,2.0,289.0,194.0,1286.530029296875,10,1800.0,1800.0,44.0,20.0,29.795918367346943,44.20408163265305,10,289,184,1286.485922,10.0,0.3462051916672934,5400.0
b0,3750,5.0,0.0,19.0,14.0,1249.5400390625,-220.5400390625,234.0,186.0,4.0,2.0,271.0,193.0,1249.5400390625,4,124.2863301647394,462.8546793410424,49.0,20.0,33.67911419887105,35.32088580112896,5,270,179,1249.316992,5.0,3.234165541847628,1440.0
b0,3900,0.0,0.0,8.0,14.0,,0.0,234.0,185.0,3.0,1.0,260.0,186.0,1328.469970703125,9,0.0,971.1907155015474,59.0,20.0,25.71600794274201,33.28399205725799,9,260,174,1336.403801,9.0,12.85048790103515,2108.572660329479
b0,4050,0.0,0.0,12.0,3.0,,0.0,239.0,190.0,2.0,2.0,257.0,192.0,1328.18994140625,47,0.0,644.2936901722121,45.0,20.0,29.90760247728672,43.09239752271328,47,258,183,1333.894711,47.0,50.42322786271277,1508.5726603294788
b0,4200,0.0,0.0,8.0,8.0,,0.0,232.0,181.0,1.0,1.0,250.0,182.0,1328.52001953125,69,0.0,1200.1491812115833,43.0,20.0,28.19114645675826,46.80885354324175,68,250,166,1338.400077,68.0,71.35954198488872,2708.572660329479
b0,4350,1.0,0.0,17.0,5.0,1321.300048828125,-292.300048828125,227.0,177.0,1.0,0.0,252.0,178.0,1321.300048828125,97,300.0,1500.1491812115833,43.0,20.0,28.19114645675826,46.80885354324175,97,251,166,1338.969751,97.0,88.09257773302289,3600.1491812115837
b0,4500,1.0,0.0,12.0,13.0,1323.6600341796875,-294.6600341796875,224.0,174.0,0.0,0.0,249.0,175.0,1323.6600341796875,94,431.0558303313573,385.25889289152366,43.0,20.0,25.779074048963,49.220925951037,94,249,163,1329.779645,94.0,79.15149644209718,1440.0
b0,4650,2.0,0.0,10.0,3.0,1313.9599609375,-284.9599609375,224.0,178.0,11.0,9.0,248.0,189.0,1301.9000244140625,90,0.0,880.6133154369154,43.0,20.0,23.519343056396917,51.48065694360308,89,249,181,1307.600837,89.0,92.71398947712407,2147.370553554238
b0,4800,0.0,0.0,8.0,8.0,,0.0,202.0,154.0,35.0,30.0,254.0,184.0,1271.050048828125,116,300.0,1180.6133154369154,31.0,20.0,35.51934305639691,51.48065694360308,115,255,168,1288.930501,115.0,106.2943768223246,3047.370553554238
b0,4950,2.0,0.0,14.0,6.0,1308.5,-279.5,164.0,117.0,52.0,42.0,237.0,161.0,1308.5,97,600.0,1480.6133154369154,25.0,20.0,35.51934305639691,57.48065694360308,97,237,150,1313.951577,97.0,75.60841858005571,3880.6133154369154
b0,5100,1.0,0.0,10.0,9.0,1313.969970703125,-284.969970703125,107.0,65.0,112.0,88.0,238.0,154.0,1313.969970703125,79,565.9564743909135,98.51088140227164,47.0,20.0,27.908038877409417,43.09196112259059,79,237,139,1325.549876,79.0,59.00932061238979,1440.0
b0,5250,1.0,0.0,9.0,6.0,1319.56005859375,-290.56005859375,57.0,37.0,184.0,153.0,257.0,191.0,1319.56005859375,57,0.0,877.7066667848281,35.0,20.0,37.40860774263517,45.59139225736484,57,255,177,1319.193796,57.0,60.69444816189006,2039.9999999886415
g1,900,0.0,0.0,7.0,6.0,,0.0,142.0,94.0,0.0,0.0,161.0,94.0,1535.8900146484375,5,1800.0,1800.0,22.0,22.666666666666664,70.66666666666666,22.666666666666664,6,160,85,1542.294705,6.0,0.0,7200.0
g1,1050,0.0,0.0,13.0,17.0,,0.0,134.0,78.0,0.0,0.0,172.0,78.0,1498.9599609375,8,1695.6118222165787,1800.0,24.0,22.27586206896552,69.44827586206897,22.27586206896552,9,172,69,1498.955727,9.0,0.0,7095.611822216579
g1,1200,0.0,0.0,19.0,14.0,,0.0,126.0,69.0,1.0,1.0,171.0,70.0,1504.3800048828125,13,1800.0,1800.0,24.0,22.27586206896552,69.44827586206897,22.27586206896552,13,170,66,1504.380726,13.0,0.0,7200.0
g1,1350,0.0,1.0,11.0,14.0,,0.0,134.0,73.0,2.0,2.0,167.0,76.0,1493.6700439453125,8,1800.0,1800.0,24.0,22.27586206896552,69.44827586206897,22.27586206896552,7,166,73,1500.310716,7.0,0.0,7200.0
g1,1500,0.0,1.0,10.0,11.0,,0.0,137.0,77.0,2.0,1.0,173.0,79.0,1483.800048828125,9,498.4054061416841,1800.0,23.0,21.298850574712645,72.40229885057471,21.298850574712645,7,174,70,1483.804606,7.0,0.0,5130.0
g1,1650,0.0,1.0,10.0,11.0,,0.0,133.0,77.0,3.0,2.0,166.0,80.0,1498.4200439453125,12,798.4054061416841,1800.0,23.0,21.298850574712645,72.40229885057471,21.298850574712645,12,166,72,1504.171015,12.0,0.0,5730.0
g1,1800,0.0,1.0,13.0,11.0,,0.0,122.0,66.0,1.0,1.0,158.0,68.0,1505.6199951171875,17,1098.405406141684,1800.0,23.0,21.298850574712645,72.40229885057471,21.298850574712645,17,158,63,1505.562086,17.0,0.0,6330.0
g1,1950,0.0,1.0,14.0,8.0,,0.0,124.0,68.0,2.0,1.0,158.0,70.0,1520.969970703125,15,1398.405406141684,1800.0,23.0,21.298850574712645,72.40229885057471,21.298850574712645,15,157,69,1520.966713,15.0,0.0,6798.405406141685
g1,2100,2.0,1.0,22.0,11.0,1536.989990234375,-507.989990234375,127.0,71.0,1.0,1.0,170.0,75.0,1513.56005859375,12,0.0,474.8369280968199,23.0,20.187606196901548,74.6247876061969,20.187606196901548,12,170,66,1513.556835,12.0,24.73048248791128,1440.0000000000002
g1,2250,1.0,1.0,12.0,13.0,1915.06005859375,-886.06005859375,125.0,73.0,1.0,0.0,166.0,75.0,1517.9200439453125,70,0.0,1057.3052160791988,23.0,20.0,75.0,20.0,69,168,66,1517.923777,69.0,81.58834516106378,2640.0
g1,2400,0.0,0.0,6.0,10.0,,0.0,137.0,74.0,0.0,0.0,167.0,74.0,1510.8399658203125,116,300.0,1357.3052160791988,23.0,20.0,75.0,20.0,116,166,70,1512.092447,116.0,116.44048757911116,3840.0
g1,2550,0.0,0.0,12.0,18.0,,0.0,130.0,71.0,4.0,3.0,176.0,75.0,1512.219970703125,112,600.0,1657.3052160791988,23.0,20.0,75.0,20.0,112,175,66,1022.131664,112.0,99.63419985188813,4868.766259295038
g1,2700,5.0,9.0,17.0,16.0,984.1500244140624,44.849975585937614,130.0,72.0,8.0,2.0,182.0,88.0,963.8699951171876,107,900.0,1800.0,23.0,20.0,75.0,20.0,107,183,79,969.907782,107.0,82.88680861306207,5611.46104321584
g1,2850,2.0,5.0,15.0,18.0,950.4400024414062,78.55999755859375,123.0,62.0,4.0,1.0,169.0,70.0,950.4400024414062,80,1200.0,1800.0,23.0,20.0,75.0,20.0,80,169,65,950.267199,80.0,43.00659798114118,6211.46104321584
g1,3000,1.0,0.0,8.0,7.0,1847.489990234375,-818.489990234375,126.0,72.0,2.0,0.0,149.0,74.0,1517.6199951171875,21,1500.0,1800.0,23.0,20.0,75.0,20.0,21,148,62,1517.615116,21.0,0.0,6811.46104321584
g1,3150,0.0,0.0,12.0,9.0,,0.0,123.0,60.0,2.0,0.0,155.0,60.0,1533.25,10,1800.0,1800.0,23.0,20.0,75.0,20.0,8,155,55,1533.247644,8.0,0.0,7200.0
g1,3300,0.0,0.0,14.0,10.0,,0.0,129.0,61.0,1.0,1.0,161.0,62.0,1519.5400390625,6,1800.0,1800.0,23.0,20.0,75.0,20.0,6,162,54,1519.536809,6.0,0.0,7200.0
g1,3450,0.0,1.0,10.0,13.0,,0.0,123.0,62.0,1.0,0.0,152.0,63.0,1524.949951171875,10,1800.0,1800.0,77.0,20.0,21.0,20.0,8,153,52,1539.107462,8.0,0.0,7200.0
g1,3600,0.0,1.0,17.0,13.0,,0.0,178.0,147.0,2.0,2.0,223.0,151.0,1516.47998046875,8,1800.0,1800.0,25.0,21.311475409836067,70.37704918032787,21.311475409836067,8,223,147,1529.146691,8.0,0.0,7200.0
g1,3750,1.0,0.0,12.0,8.0,1954.1400146484373,-925.1400146484373,152.0,100.0,1.0,0.0,183.0,102.0,1464.72998046875,4,0.0,391.9123151553714,23.0,20.55708689975337,73.88582620049326,20.55708689975337,4,181,88,1464.729522,4.0,14.0131548328278,1440.0
g1,3900,0.0,0.0,9.0,9.0,,0.0,136.0,78.0,0.0,0.0,161.0,78.0,1473.6500244140625,40,0.0,1424.6653625120514,23.0,20.0,75.0,20.0,40,161,72,1486.524447,40.0,53.333034147426346,2640.0
g1,4050,0.0,0.0,7.0,6.0,,0.0,123.0,59.0,0.0,0.0,139.0,59.0,1501.8299560546875,80,300.0,1724.6653625120514,23.0,20.0,75.0,20.0,80,140,54,1508.213061,80.0,80.73500527321342,3840.0
g1,4200,0.0,0.0,5.0,8.0,,0.0,129.0,71.0,1.0,0.0,148.0,72.0,1514.699951171875,62,0.0,357.8759389051753,23.0,20.0,75.0,20.0,62,148,61,1514.698893,62.0,75.59702972070342,1440.0
