t,ramp_q_veh,ramp_q_pen,dens_pen,dens_stress,best_intent_NUF,selected_NUF
900,0,0.0,0,0.0,7200.0,7200.0
1050,0,0.0,2,0.0,7200.0,7200.0
1200,0,0.0,15,0.0,1440.0,7200.0
1350,136,0.0,56,0.0,1440.0,1440.0
1500,364,0.0,127,0.0,2640.0,2640.0
1650,381,0.0,214,0.1,1440.0,3840.0
1800,210,0.0,298,0.37,1440.0,4800.0
1950,477,0.0,372,0.55,1440.0,1440.0
2100,669,0.0,430,0.64,1800.0,1800.0
2250,651,0.0,513,0.74,1440.0,3000.0
2400,462,0.0,574,0.88,1440.0,3900.0
2550,675,0.0,576,0.99,1800.0,1800.0
2700,665,0.0,612,0.99,1440.0,3000.0
2850,705,0.0,620,1.0,2100.0,2100.0
3000,684,0.0,648,1.0,1440.0,3000.0
3150,588,0.0,656,1.0,1440.0,3900.0
3300,783,0.0,635,1.0,1800.0,1800.0
3450,862,0.0,624,1.0,1800.0,1800.0
3600,890,0.0,499,1.0,1440.0,1440.0000000000002
3750,880,0.0,489,0.95,1800.0,1800.0
3900,877,0.0,518,0.93,1440.0,1439.9999999999998
4050,841,0.0,531,1.0,2189.999999868874,2189.999999868874
4200,751,0.0,563,1.0,3389.999999868874,3389.999999868874
4350,687,0.0,555,1.0,1440.0,1440.0
4500,737,0.0,457,1.0,1800.0,1800.0
4650,803,0.0,434,1.0,3000.0,3000.0
4800,812,0.0,438,1.0,1800.0,1800.0
4950,837,0.0,448,1.0,1800.0,1800.0
5100,863,0.0,442,1.0,1800.0,1800.0
5250,900,0.0,435,1.0,1800.0,1800.0
5400,928,0.0,414,0.98,1440.0,1440.0
