run,t,link,prev_link,cls,n
h11_canon0905_lcd1000_x18_20260907,901,32,-1,ramp_R_D_E,4
h11_canon0905_lcd1000_x18_20260907,901,32,-1,ramp_R_D_W,15
h11_canon0905_lcd1000_x18_20260907,901,32,-1,signal_or_other,10
h11_canon0905_lcd1000_x18_20260907,901,32,10481,signal_or_other,50
h11_canon0905_lcd1000_x18_20260907,901,32,10491,signal_or_other,81
h11_canon0905_lcd1000_x18_20260907,901,32,10491,unknown_or_exit,1
h11_canon0905_lcd1000_x18_20260907,1051,32,-1,ramp_R_D_E,13
h11_canon0905_lcd1000_x18_20260907,1051,32,-1,ramp_R_D_W,26
h11_canon0905_lcd1000_x18_20260907,1051,32,-1,signal_or_other,9
h11_canon0905_lcd1000_x18_20260907,1051,32,10481,signal_or_other,41
h11_canon0905_lcd1000_x18_20260907,1051,32,10491,signal_or_other,82
h11_canon0905_lcd1000_x18_20260907,1051,32,10491,unknown_or_exit,2
h11_canon0905_lcd1000_x18_20260907,1201,32,-1,ramp_R_D_E,14
h11_canon0905_lcd1000_x18_20260907,1201,32,-1,ramp_R_D_W,28
h11_canon0905_lcd1000_x18_20260907,1201,32,-1,signal_or_other,12
h11_canon0905_lcd1000_x18_20260907,1201,32,10481,signal_or_other,40
h11_canon0905_lcd1000_x18_20260907,1201,32,10491,signal_or_other,78
h11_canon0905_lcd1000_x18_20260907,1201,32,10491,unknown_or_exit,2
h11_canon0905_lcd1000_x18_20260907,1351,32,-1,ramp_R_D_E,12
h11_canon0905_lcd1000_x18_20260907,1351,32,-1,ramp_R_D_W,17
h11_canon0905_lcd1000_x18_20260907,1351,32,-1,signal_or_other,19
h11_canon0905_lcd1000_x18_20260907,1351,32,10481,signal_or_other,41
h11_canon0905_lcd1000_x18_20260907,1351,32,10491,signal_or_other,69
h11_canon0905_lcd1000_x18_20260907,1351,32,10491,unknown_or_exit,2
h11_canon0905_lcd1000_x18_20260907,1501,32,-1,ramp_R_D_E,11
h11_canon0905_lcd1000_x18_20260907,1501,32,-1,ramp_R_D_W,22
h11_canon0905_lcd1000_x18_20260907,1501,32,-1,signal_or_other,16
h11_canon0905_lcd1000_x18_20260907,1501,32,10481,signal_or_other,44
h11_canon0905_lcd1000_x18_20260907,1501,32,10491,signal_or_other,85
h11_canon0905_lcd1000_x18_20260907,1651,32,-1,ramp_R_D_E,10
h11_canon0905_lcd1000_x18_20260907,1651,32,-1,ramp_R_D_W,20
h11_canon0905_lcd1000_x18_20260907,1651,32,-1,signal_or_other,12
h11_canon0905_lcd1000_x18_20260907,1651,32,10481,signal_or_other,33
h11_canon0905_lcd1000_x18_20260907,1651,32,10491,signal_or_other,99
h11_canon0905_lcd1000_x18_20260907,1651,32,10491,unknown_or_exit,1
h11_canon0905_lcd1000_x18_20260907,1801,32,-1,ramp_R_D_E,13
h11_canon0905_lcd1000_x18_20260907,1801,32,-1,ramp_R_D_W,20
h11_canon0905_lcd1000_x18_20260907,1801,32,-1,signal_or_other,8
h11_canon0905_lcd1000_x18_20260907,1801,32,10481,signal_or_other,36
h11_canon0905_lcd1000_x18_20260907,1801,32,10491,signal_or_other,91
h11_canon0905_lcd1000_x18_20260907,1801,32,10491,unknown_or_exit,2
h11_canon0905_lcd1000_x18_20260907,1951,32,-1,ramp_R_D_E,11
h11_canon0905_lcd1000_x18_20260907,1951,32,-1,ramp_R_D_W,18
h11_canon0905_lcd1000_x18_20260907,1951,32,-1,signal_or_other,7
h11_canon0905_lcd1000_x18_20260907,1951,32,10481,signal_or_other,40
h11_canon0905_lcd1000_x18_20260907,1951,32,10491,signal_or_other,76
h11_canon0905_lcd1000_x18_20260907,1951,32,10491,unknown_or_exit,5
h11_canon0905_lcd1000_x18_20260907,2101,32,-1,ramp_R_D_E,9
h11_canon0905_lcd1000_x18_20260907,2101,32,-1,ramp_R_D_W,29
h11_canon0905_lcd1000_x18_20260907,2101,32,-1,signal_or_other,11
h11_canon0905_lcd1000_x18_20260907,2101,32,10481,signal_or_other,66
h11_canon0905_lcd1000_x18_20260907,2101,32,10491,signal_or_other,106
h11_canon0905_lcd1000_x18_20260907,2101,32,10491,unknown_or_exit,4
h11_canon0905_lcd1000_x18_20260907,2251,32,-1,ramp_R_D_E,19
h11_canon0905_lcd1000_x18_20260907,2251,32,-1,ramp_R_D_W,57
h11_canon0905_lcd1000_x18_20260907,2251,32,-1,signal_or_other,19
h11_canon0905_lcd1000_x18_20260907,2251,32,10481,signal_or_other,43
h11_canon0905_lcd1000_x18_20260907,2251,32,10491,signal_or_other,101
h11_canon0905_lcd1000_x18_20260907,2251,32,10491,unknown_or_exit,1
h11_canon0905_lcd1000_x18_20260907,2401,32,-1,ramp_R_D_E,30
h11_canon0905_lcd1000_x18_20260907,2401,32,-1,ramp_R_D_W,79
h11_canon0905_lcd1000_x18_20260907,2401,32,-1,signal_or_other,21
h11_canon0905_lcd1000_x18_20260907,2401,32,10481,signal_or_other,27
h11_canon0905_lcd1000_x18_20260907,2401,32,10491,ramp_R_D_E,1
h11_canon0905_lcd1000_x18_20260907,2401,32,10491,signal_or_other,93
h11_canon0905_lcd1000_x18_20260907,2551,32,-1,ramp_R_D_E,33
h11_canon0905_lcd1000_x18_20260907,2551,32,-1,ramp_R_D_W,95
h11_canon0905_lcd1000_x18_20260907,2551,32,-1,signal_or_other,19
h11_canon0905_lcd1000_x18_20260907,2551,32,10481,signal_or_other,36
h11_canon0905_lcd1000_x18_20260907,2551,32,10491,ramp_R_D_E,3
h11_canon0905_lcd1000_x18_20260907,2551,32,10491,signal_or_other,81
h11_canon0905_lcd1000_x18_20260907,2551,32,10491,unknown_or_exit,1
h11_canon0905_lcd1000_x18_20260907,2701,32,-1,ramp_R_D_E,33
h11_canon0905_lcd1000_x18_20260907,2701,32,-1,ramp_R_D_W,115
h11_canon0905_lcd1000_x18_20260907,2701,32,-1,signal_or_other,16
h11_canon0905_lcd1000_x18_20260907,2701,32,10481,signal_or_other,34
h11_canon0905_lcd1000_x18_20260907,2701,32,10491,ramp_R_D_E,2
h11_canon0905_lcd1000_x18_20260907,2701,32,10491,signal_or_other,83
h11_canon0905_lcd1000_x18_20260907,2701,32,10491,unknown_or_exit,1
h11_canon0905_lcd1000_x18_20260907,2851,32,-1,ramp_R_D_E,41
h11_canon0905_lcd1000_x18_20260907,2851,32,-1,ramp_R_D_W,130
h11_canon0905_lcd1000_x18_20260907,2851,32,-1,signal_or_other,16
h11_canon0905_lcd1000_x18_20260907,2851,32,-1,unknown_or_exit,11
h11_canon0905_lcd1000_x18_20260907,2851,32,10481,signal_or_other,39
h11_canon0905_lcd1000_x18_20260907,2851,32,10491,signal_or_other,75
h11_canon0905_lcd1000_x18_20260907,3001,32,-1,ramp_R_D_E,31
h11_canon0905_lcd1000_x18_20260907,3001,32,-1,ramp_R_D_W,109
h11_canon0905_lcd1000_x18_20260907,3001,32,-1,signal_or_other,14
h11_canon0905_lcd1000_x18_20260907,3001,32,-1,unknown_or_exit,43
h11_canon0905_lcd1000_x18_20260907,3001,32,10481,signal_or_other,41
h11_canon0905_lcd1000_x18_20260907,3001,32,10491,signal_or_other,62
h11_canon0905_lcd1000_x18_20260907,3001,32,10491,unknown_or_exit,1
h11_canon0905_lcd1000_x18_20260907,3151,32,-1,ramp_R_D_E,32
h11_canon0905_lcd1000_x18_20260907,3151,32,-1,ramp_R_D_W,99
h11_canon0905_lcd1000_x18_20260907,3151,32,-1,signal_or_other,17
h11_canon0905_lcd1000_x18_20260907,3151,32,-1,unknown_or_exit,80
h11_canon0905_lcd1000_x18_20260907,3151,32,10481,signal_or_other,52
h11_canon0905_lcd1000_x18_20260907,3151,32,10491,signal_or_other,78
h11_canon0905_lcd1000_x18_20260907,3151,32,10491,unknown_or_exit,1
h11_canon0905_lcd1000_x18_20260907,3301,32,-1,ramp_R_D_E,24
h11_canon0905_lcd1000_x18_20260907,3301,32,-1,ramp_R_D_W,66
h11_canon0905_lcd1000_x18_20260907,3301,32,-1,signal_or_other,19
h11_canon0905_lcd1000_x18_20260907,3301,32,-1,unknown_or_exit,121
h11_canon0905_lcd1000_x18_20260907,3301,32,10481,signal_or_other,30
h11_canon0905_lcd1000_x18_20260907,3301,32,10491,ramp_R_D_E,1
h11_canon0905_lcd1000_x18_20260907,3301,32,10491,signal_or_other,70
h11_canon0905_lcd1000_x18_20260907,3301,32,10491,unknown_or_exit,1
h11_canon0905_lcd1000_x18_20260907,3451,32,-1,ramp_R_D_E,18
h11_canon0905_lcd1000_x18_20260907,3451,32,-1,ramp_R_D_W,45
h11_canon0905_lcd1000_x18_20260907,3451,32,-1,signal_or_other,15
h11_canon0905_lcd1000_x18_20260907,3451,32,-1,unknown_or_exit,162
h11_canon0905_lcd1000_x18_20260907,3451,32,10481,signal_or_other,23
h11_canon0905_lcd1000_x18_20260907,3451,32,10491,signal_or_other,57
h11_canon0905_lcd1000_x18_20260907,3451,32,10491,unknown_or_exit,2
h11_canon0905_lcd1000_x18_20260907,3601,32,-1,ramp_R_D_E,23
h11_canon0905_lcd1000_x18_20260907,3601,32,-1,ramp_R_D_W,45
h11_canon0905_lcd1000_x18_20260907,3601,32,-1,signal_or_other,12
h11_canon0905_lcd1000_x18_20260907,3601,32,-1,unknown_or_exit,210
h11_canon0905_lcd1000_x18_20260907,3601,32,10481,signal_or_other,20
h11_canon0905_lcd1000_x18_20260907,3601,32,10491,signal_or_other,49
h11_canon0905_lcd1000_x18_20260907,3601,32,10491,unknown_or_exit,1
h11_canon0905_lcd1000_x18_20260907,3751,32,-1,ramp_R_D_E,24
h11_canon0905_lcd1000_x18_20260907,3751,32,-1,ramp_R_D_W,45
h11_canon0905_lcd1000_x18_20260907,3751,32,-1,signal_or_other,11
