link,h11,b0,h0,g1,h11-h0,b0-h0
1,1.336111111111111,1.4166666666666667,1.3125,1.3277777777777777,0.023611111111111027,0.10416666666666674
2,969.0805555555555,1032.2722222222221,1060.7444444444445,684.8166666666667,-91.663888888889,-28.4722222222224
3,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.0,0.0
4,0.20694444444444443,0.2,0.19583333333333333,0.2,0.0111111111111111,0.00416666666666668
5,0.3194444444444444,0.3194444444444444,0.3194444444444444,0.3194444444444444,0.0,0.0
6,0.2569444444444444,0.2569444444444444,0.2569444444444444,0.2569444444444444,0.0,0.0
7,0.11527777777777778,0.12083333333333333,0.12361111111111112,0.12777777777777777,-0.008333333333333331,-0.002777777777777782
8,0.08888888888888889,0.0875,0.08194444444444444,0.09305555555555556,0.0069444444444444475,0.00555555555555555
12,0.2861111111111111,0.28194444444444444,0.2777777777777778,0.2722222222222222,0.008333333333333304,0.004166666666666652
13,1.511111111111111,1.511111111111111,1.511111111111111,1.511111111111111,0.0,0.0
14,0.5125,0.5291666666666667,0.5305555555555556,0.5541666666666667,-0.018055555555555602,-0.001388888888888884
17,0.018055555555555554,0.022222222222222223,0.0125,0.011111111111111112,0.005555555555555553,0.009722222222222222
18,0.002777777777777778,0.001388888888888889,0.004166666666666667,0.0,-0.0013888888888888887,-0.0027777777777777775
19,0.004166666666666667,0.008333333333333333,0.011111111111111112,0.009722222222222222,-0.006944444444444445,-0.0027777777777777783
20,0.5222222222222223,0.5472222222222223,0.5666666666666667,0.5888888888888889,-0.0444444444444444,-0.019444444444444375
21,8.215277777777779,7.348611111111111,4.513888888888889,7.498611111111111,3.7013888888888893,2.834722222222222
22,0.38333333333333336,0.38472222222222224,0.38055555555555554,0.38472222222222224,0.0027777777777778234,0.004166666666666707
23,0.41944444444444445,0.4166666666666667,0.4083333333333333,0.41944444444444445,0.011111111111111127,0.00833333333333336
24,95.25972222222222,99.14444444444445,104.05416666666666,118.62638888888888,-8.794444444444437,-4.909722222222214
25,4.959722222222222,4.958333333333333,4.959722222222222,4.958333333333333,0.0,-0.001388888888889106
26,1267.2777777777778,1437.1805555555557,1415.0166666666667,1336.6319444444443,-147.73888888888882,22.163888888889005
27,0.05694444444444444,0.05694444444444444,0.05694444444444444,0.05694444444444444,0.0,0.0
28,5.211111111111111,5.218055555555556,5.215277777777778,5.201388888888889,-0.00416666666666643,0.002777777777778212
29,6.022222222222222,6.633333333333334,6.283333333333333,5.658333333333333,-0.26111111111111107,0.35000000000000053
30,58.56666666666667,16.730555555555554,23.220833333333335,51.452777777777776,35.34583333333333,-6.490277777777781
31,76.44722222222222,56.143055555555556,53.78333333333333,64.24166666666666,22.66388888888889,2.3597222222222243
32,449.5625,350.4527777777778,352.2611111111111,255.59722222222223,97.30138888888888,-1.8083333333333371
33,1.8319444444444444,1.8263888888888888,1.825,1.825,0.00694444444444442,0.001388888888888884
34,1.2583333333333333,1.261111111111111,1.2513888888888889,1.2541666666666667,0.00694444444444442,0.009722222222222188
35,1.6902777777777778,1.6902777777777778,1.6902777777777778,1.6902777777777778,0.0,0.0
36,2.013888888888889,2.013888888888889,2.013888888888889,2.013888888888889,0.0,0.0
37,12.147222222222222,10.404166666666667,8.955555555555556,12.452777777777778,3.1916666666666664,1.448611111111111
38,6.529166666666667,13.744444444444444,7.545833333333333,7.138888888888889,-1.0166666666666666,6.19861111111111
39,13.561111111111112,13.38888888888889,14.204166666666667,13.627777777777778,-0.6430555555555557,-0.8152777777777782
40,84.24722222222222,89.82638888888889,62.7875,93.825,21.45972222222222,27.038888888888884
41,1.5555555555555556,1.5555555555555556,1.5555555555555556,1.5555555555555556,0.0,0.0
42,3.3097222222222222,3.3097222222222222,3.3097222222222222,3.3097222222222222,0.0,0.0
44,1.1083333333333334,1.1055555555555556,1.1055555555555556,1.1069444444444445,0.002777777777777768,0.0
45,1.6125,1.6097222222222223,1.6083333333333334,1.6097222222222223,0.004166666666666652,0.001388888888888884
46,7.333333333333333,7.413888888888889,9.626388888888888,7.629166666666666,-2.293055555555555,-2.2124999999999995
47,14.661111111111111,15.827777777777778,16.319444444444443,16.02638888888889,-1.6583333333333314,-0.49166666666666536
49,0.5666666666666667,0.5763888888888888,0.5652777777777778,0.5736111111111111,0.001388888888888884,0.011111111111111072
51,0.009722222222222222,0.009722222222222222,0.0125,0.009722222222222222,-0.0027777777777777783,-0.0027777777777777783
