t,n,stopped
1971,5421,1988
1976,5442,2024
1981,5460,2037
1986,5465,2071
1991,5465,2100
1996,5483,2086
2001,5488,2055
2006,5496,2001
2011,5508,2024
2016,5519,2018
2021,5526,2013
2026,5541,2022
2031,5541,2016
2036,5542,2003
2041,5549,1996
2046,5549,2017
2051,5572,2017
2056,5582,2053
2061,5594,2112
2066,5609,2060
2071,5619,2107
2076,5622,2103
2081,5629,2141
2086,5648,2189
2091,5657,2196
2096,5653,2223
2101,5650,2239
2106,5637,2210
2111,5645,2209
2116,5650,2219
2121,5656,2210
2126,5655,2242
2131,5672,2302
2136,5691,2340
2141,5720,2311
2146,5729,2302
2151,5734,2337
2156,5741,2283
2161,5754,2258
2166,5778,2263
2171,5787,2250
2176,5789,2196
2181,5792,2139
2186,5792,2149
2191,5812,2167
2196,5831,2208
2201,5843,2209
2206,5861,2216
2211,5879,2218
2216,5888,2211
2221,5906,2228
2226,5900,2184
2231,5912,2229
2236,5923,2258
2241,5945,2273
2246,5942,2352
2251,5931,2404
2256,5936,2383
2261,5940,2422
2266,5946,2458
2271,5945,2483
2276,5957,2491
2281,5964,2528
2286,5981,2629
2291,5996,2636
2296,6018,2662
2301,6034,2611
2306,6032,2546
2311,6045,2557
2316,6066,2587
2321,6076,2546
2326,6091,2490
2331,6108,2436
2336,6127,2406
2341,6150,2458
2346,6173,2449
2351,6193,2555
2356,6221,2567
2361,6240,2550
2366,6257,2515
2371,6285,2527
2376,6309,2546
2381,6328,2502
2386,6354,2545
2391,6348,2525
2396,6352,2547
2401,6350,2632
2406,6334,2622
2411,6335,2609
2416,6332,2598
2421,6332,2601
2426,6349,2647
2431,6362,2692
2436,6371,2738
2441,6391,2751
2446,6407,2788
2451,6422,2806
2456,6442,2788
2461,6453,2797
2466,6470,2790
2471,6484,2776
2476,6483,2784
2481,6496,2693
2486,6497,2664
2491,6501,2678
2496,6507,2689
2501,6519,2739
2506,6517,2762
2511,6532,2831
2516,6549,2825
2521,6552,2844
2526,6564,2810
2531,6570,2812
2536,6568,2859
2541,6573,2789
2546,6551,2827
2551,6535,2797
2556,6525,2784
2561,6522,2847
2566,6509,2860
2571,6499,2913
2576,6492,2929
2581,6483,2959
2586,6485,3042
2591,6478,3013
2596,6494,3008
2601,6507,3021
2606,6523,2968
2611,6537,2998
2616,6556,2985
2621,6566,2976
2626,6583,2952
2631,6593,2923
2636,6604,2892
2641,6613,2902
2646,6633,2915
2651,6649,2960
2656,6655,2973
2661,6662,3000
2666,6655,2990
2671,6655,3032
2676,6666,3074
2681,6670,3069
2686,6671,3037
2691,6680,3027
2696,6684,3071
2701,6697,3062
2706,6701,3053
2711,6695,3043
2716,6696,3057
2721,6683,3055
2726,6687,3084
2731,6664,3150
2736,6666,3237
2741,6682,3218
2746,6678,3258
2751,6667,3204
2756,6662,3194
2761,6671,3195
2766,6677,3145
2771,6662,3115
2776,6668,3146
2781,6674,3038
2786,6670,3016
2791,6677,3021
2796,6676,3064
2801,6675,3038
2806,6690,3092
2811,6709,3165
2816,6718,3045
2821,6733,3124
2826,6729,3087
2831,6731,3123
2836,6738,3158
2841,6750,3120
2846,6757,3176
2851,6748,3207
2856,6759,3243
2861,6782,3246
2866,6774,3241
2871,6754,3217
2876,6741,3232
2881,6746,3264
2886,6740,3327
2891,6741,3321
2896,6744,3306
2901,6728,3328
2906,6714,3319
2911,6705,3268
2916,6709,3297
2921,6717,3291
2926,6722,3294
2931,6719,3234
2936,6711,3268
2941,6727,3241
2946,6739,3277
2951,6744,3348
2956,6737,3337
2961,6752,3365
2966,6756,3308
2971,6755,3362
2976,6759,3304
2981,6766,3322
2986,6783,3318
2991,6789,3350
2996,6796,3365
3001,6789,3353
3006,6772,3334
3011,6783,3296
3016,6768,3321
3021,6749,3320
3026,6749,3331
3031,6736,3358
3036,6746,3393
3041,6741,3411
3046,6746,3393
3051,6736,3397
3056,6720,3338
3061,6724,3350
3066,6729,3362
3071,6723,3346
3076,6723,3282
3081,6730,3222
3086,6748,3273
3091,6748,3284
3096,6761,3319
3101,6774,3365
3106,6796,3424
3111,6812,3507
3116,6813,3465
3121,6813,3478
3126,6818,3451
3131,6822,3476
3136,6815,3438
3141,6813,3435
3146,6805,3417
3151,6794,3420
3156,6793,3384
3161,6806,3335
3166,6812,3388
3171,6826,3379
3176,6817,3408
3181,6813,3473
3186,6834,3504
3191,6849,3532
3196,6854,3540
3201,6851,3532
3206,6855,3505
3211,6846,3523
3216,6816,3472
3221,6812,3472
3226,6807,3432
3231,6825,3374
3236,6822,3385
3241,6827,3402
3246,6842,3378
3251,6855,3434
3256,6872,3477
3261,6880,3510
3266,6887,3475
3271,6887,3486
3276,6900,3493
3281,6901,3532
3286,6903,3544
3291,6903,3505
3296,6900,3524
3301,6905,3524
3306,6913,3523
3311,6926,3524
3316,6919,3513
3321,6938,3504
3326,6936,3530
3331,6930,3568
3336,6941,3590
3341,6944,3573
3346,6949,3580
3351,6952,3605
3356,6967,3567
3361,6966,3531
3366,6946,3558
3371,6952,3554
3376,6942,3524
3381,6943,3478
3386,6939,3434
3391,6938,3447
3396,6946,3469
3401,6945,3473
3406,6960,3588
3411,6965,3631
3416,6975,3574
3421,6980,3597
3426,6998,3643
3431,6996,3608
3436,6988,3624
3441,6986,3599
3446,6978,3616
3451,6975,3604
3456,6978,3526
3461,6981,3552
3466,6981,3588
3471,6986,3600
3476,6983,3671
3481,6984,3700
3486,6995,3734
3491,7003,3738
3496,7009,3646
3501,7016,3609
3506,7024,3560
3511,7031,3599
3516,7023,3618
3521,7026,3581
3526,7033,3594
3531,7035,3521
3536,7024,3477
3541,7039,3509
3546,7040,3538
3551,7030,3572
3556,7039,3622
3561,7045,3658
3566,7058,3584
3571,7068,3639
3576,7075,3651
3581,7075,3639
3586,7091,3647
3591,7099,3659
3596,7101,3618
3601,7091,3615
3606,7089,3619
3611,7084,3656
3616,7085,3622
3621,7076,3619
3626,7057,3684
3631,7047,3748
3636,7038,3792
3641,7045,3726
3646,7037,3690
3651,7045,3676
3656,7042,3653
3661,7035,3619
3666,7030,3638
3671,7024,3573
3676,7014,3555
3681,6996,3481
3686,6996,3486
3691,7000,3509
3696,6989,3576
3701,6987,3558
3706,6983,3581
3711,6982,3612
3716,6978,3534
3721,6972,3562
3726,6957,3556
3731,6952,3552
3736,6931,3609
3741,6931,3534
3746,6926,3549
3751,6889,3536
3756,6888,3491
3761,6900,3462
3766,6888,3483
3771,6887,3488
3776,6907,3523
3781,6916,3617
3786,6927,3682
3791,6941,3730
3796,6952,3744
3801,6940,3764
3806,6920,3620
3811,6915,3629
3816,6913,3582
3821,6908,3593
3826,6901,3551
3831,6904,3493
3836,6904,3455
3841,6893,3396
3846,6890,3478
3851,6892,3493
3856,6887,3537
3861,6886,3583
3866,6878,3517
3871,6869,3542
3876,6856,3474
3881,6864,3474
3886,6871,3504
3891,6884,3501
3896,6868,3510
3901,6853,3531
3906,6839,3506
3911,6830,3499
3916,6819,3490
3921,6814,3540
3926,6802,3516
3931,6808,3577
3936,6810,3636
3941,6806,3650
3946,6788,3627
3951,6766,3572
3956,6762,3523
3961,6771,3495
3966,6765,3510
3971,6757,3491
3976,6752,3517
3981,6750,3426
3986,6745,3386
3991,6727,3382
3996,6713,3379
4001,6712,3416
4006,6702,3435
4011,6696,3454
4016,6697,3420
4021,6698,3428
4026,6695,3473
4031,6697,3443
4036,6695,3458
4041,6684,3416
4046,6666,3431
4051,6662,3436
4056,6666,3436
4061,6671,3439
4066,6673,3429
4071,6667,3458
4076,6655,3464
4081,6660,3484
4086,6649,3505
4091,6637,3503
4096,6638,3536
4101,6640,3536
4106,6628,3480
4111,6626,3501
4116,6628,3469
4121,6629,3494
4126,6643,3418
4131,6648,3357
4136,6646,3379
4141,6656,3341
4146,6650,3350
4151,6642,3408
4156,6650,3446
4161,6651,3512
4166,6648,3460
4171,6639,3530
4176,6642,3525
4181,6644,3521
4186,6650,3544
4191,6646,3506
4196,6630,3526
4201,6617,3533
4206,6615,3477
4211,6619,3456
4216,6615,3461
4221,6610,3448
4226,6601,3422
4231,6607,3508
4236,6587,3535
4241,6587,3547
4246,6593,3492
4251,6599,3479
4256,6588,3481
4261,6596,3481
4266,6606,3540
4271,6614,3567
4276,6624,3481
4281,6645,3430
4286,6650,3346
4291,6646,3389
4296,6644,3404
4301,6647,3421
4306,6657,3424
4311,6669,3479
4316,6672,3468
4321,6666,3467
4326,6653,3424
4331,6648,3455
4336,6644,3455
4341,6643,3445
4346,6641,3517
4351,6617,3455
4356,6611,3448
4361,6621,3521
4366,6636,3550
4371,6647,3563
4376,6647,3586
4381,6661,3595
4386,6672,3591
4391,6677,3619
4396,6685,3617
4401,6683,3602
4406,6671,3572
4411,6672,3583
4416,6666,3549
4421,6672,3573
4426,6685,3526
4431,6683,3497
4436,6690,3453
4441,6700,3426
4446,6712,3410
4451,6717,3451
4456,6720,3455
4461,6702,3470
4466,6703,3408
4471,6691,3436
4476,6686,3400
4481,6682,3418
4486,6685,3438
4491,6691,3451
4496,6695,3453
4501,6685,3455
4506,6675,3470
4511,6675,3507
4516,6663,3456
4521,6676,3474
4526,6680,3542
4531,6694,3591
4536,6709,3649
4541,6717,3667
4546,6718,3623
4551,6722,3632
4556,6712,3557
4561,6709,3564
4566,6712,3565
4571,6712,3528
4576,6717,3496
4581,6725,3487
4586,6720,3456
4591,6722,3460
4596,6720,3482
4601,6726,3496
4606,6724,3489
4611,6722,3487
4616,6720,3460
4621,6711,3407
4626,6693,3406
4631,6680,3433
4636,6656,3475
4641,6645,3445
4646,6623,3452
4651,6592,3473
4656,6599,3452
4661,6600,3476
4666,6604,3485
4671,6598,3497
4676,6587,3470
4681,6584,3550
4686,6593,3565
4691,6581,3531
4696,6571,3547
4701,6569,3468
4706,6558,3444
4711,6551,3434
4716,6549,3424
4721,6560,3397
4726,6548,3355
4731,6549,3378
4736,6546,3392
4741,6533,3389
4746,6515,3398
4751,6510,3412
4756,6514,3462
4761,6519,3443
4766,6499,3362
4771,6482,3396
4776,6451,3418
4781,6437,3393
4786,6432,3435
4791,6425,3403
4796,6408,3421
4801,6393,3435
4806,6392,3398
4811,6382,3442
4816,6381,3407
4821,6376,3398
4826,6373,3403
4831,6359,3439
4836,6348,3435
4841,6345,3478
4846,6338,3456
4851,6331,3491
4856,6319,3447
4861,6306,3373
4866,6302,3399
4871,6309,3410
4876,6305,3403
4881,6307,3352
4886,6307,3342
4891,6303,3333
4896,6294,3324
4901,6296,3381
4906,6303,3403
4911,6308,3406
4916,6311,3362
4921,6314,3392
4926,6317,3347
4931,6308,3350
4936,6297,3287
4941,6286,3301
4946,6281,3301
4951,6276,3330
4956,6273,3299
4961,6272,3298
4966,6268,3320
4971,6261,3333
4976,6261,3370
4981,6264,3447
4986,6256,3442
4991,6252,3438
4996,6249,3416
5001,6250,3396
5006,6249,3391
5011,6256,3357
5016,6269,3323
5021,6282,3301
5026,6297,3277
5031,6297,3221
5036,6299,3164
5041,6306,3184
5046,6317,3176
5051,6315,3235
5056,6316,3260
5061,6312,3250
5066,6313,3189
5071,6318,3253
5076,6316,3188
5081,6297,3207
5086,6285,3185
5091,6280,3174
5096,6269,3209
5101,6245,3225
5106,6230,3205
5111,6229,3196
5116,6217,3240
5121,6209,3223
5126,6205,3226
5131,6200,3302
5136,6208,3349
5141,6205,3388
5146,6207,3389
5151,6220,3362
5156,6221,3331
5161,6223,3306
5166,6228,3334
5171,6229,3312
5176,6234,3241
5181,6243,3187
5186,6248,3131
5191,6256,3139
5196,6251,3170
5201,6248,3183
5206,6261,3154
5211,6264,3181
5216,6250,3198
5221,6251,3221
5226,6244,3145
5231,6230,3170
5236,6214,3152
5241,6217,3157
5246,6204,3199
5251,6206,3170
5256,6198,3174
5261,6199,3205
5266,6197,3204
5271,6183,3170
5276,6185,3258
5281,6170,3275
5286,6178,3315
5291,6190,3324
5296,6188,3300
5301,6176,3262
5306,6170,3209
5311,6169,3174
5316,6185,3177
5321,6190,3169
5326,6195,3173
5331,6203,3171
5336,6199,3152
5341,6195,3171
5346,6182,3159
5351,6185,3199
5356,6193,3189
5361,6201,3252
5366,6210,3228
5371,6210,3229
5376,6212,3238
5381,6210,3190
5386,6200,3247
5391,6198,3234
5396,6201,3201
