t,n,stopped
1,8,0
6,43,0
11,73,0
16,95,1
21,130,2
26,162,1
31,191,2
36,223,6
41,260,6
46,294,10
51,325,15
56,361,17
61,399,21
66,430,37
71,472,43
76,501,53
81,537,55
86,570,60
91,602,75
96,641,88
101,672,105
106,703,121
111,744,127
116,784,115
121,811,117
126,856,112
131,889,118
136,908,120
141,940,131
146,967,134
151,990,131
156,1015,128
161,1054,136
166,1069,145
171,1092,160
176,1126,180
181,1150,185
186,1165,196
191,1185,193
196,1209,204
201,1243,224
206,1267,218
211,1299,221
216,1335,228
221,1364,209
226,1386,197
231,1411,199
236,1443,197
241,1464,209
246,1481,209
251,1509,216
256,1523,245
261,1550,248
266,1576,232
271,1593,258
276,1612,253
281,1630,226
286,1661,229
291,1685,230
296,1698,243
301,1708,242
306,1725,233
311,1744,248
316,1757,249
321,1777,261
326,1788,281
331,1800,317
336,1813,344
341,1842,351
346,1865,365
351,1886,351
356,1897,334
361,1912,325
366,1939,344
371,1964,349
376,1980,351
381,1996,293
386,2003,293
391,2012,291
396,2022,307
401,2030,321
406,2042,335
411,2061,355
416,2077,325
421,2096,354
426,2113,363
431,2126,371
436,2134,399
441,2146,366
446,2158,372
451,2168,375
456,2167,350
461,2186,359
466,2190,342
471,2198,370
476,2200,393
481,2210,435
486,2220,448
491,2227,464
496,2234,463
501,2252,464
506,2251,426
511,2256,419
516,2265,441
521,2270,449
526,2280,446
531,2290,417
536,2321,421
541,2339,406
546,2335,429
551,2338,454
556,2345,507
561,2351,533
566,2351,491
571,2357,485
576,2372,470
581,2379,454
586,2397,469
591,2406,479
596,2412,517
601,2423,495
606,2443,470
611,2453,457
616,2457,427
621,2474,428
626,2482,460
631,2493,506
636,2509,550
641,2504,562
646,2492,572
651,2491,574
656,2501,556
661,2503,572
666,2518,588
671,2522,589
676,2538,576
681,2556,538
686,2571,551
691,2583,571
696,2573,600
701,2585,569
706,2588,589
711,2598,614
716,2604,589
721,2619,603
726,2627,547
731,2635,544
736,2656,534
741,2666,521
746,2674,554
751,2688,559
756,2684,549
761,2693,545
766,2694,532
771,2685,542
776,2691,557
781,2702,596
786,2713,625
791,2718,634
796,2716,649
801,2706,656
806,2698,635
811,2692,644
816,2703,664
821,2707,687
826,2721,671
831,2735,614
836,2742,616
841,2752,640
846,2779,685
851,2784,696
856,2787,702
861,2808,717
866,2820,695
871,2818,707
876,2822,692
881,2825,668
886,2814,673
891,2814,654
896,2807,657
901,2805,661
906,2824,639
911,2846,671
916,2857,682
921,2877,678
926,2896,710
931,2915,743
936,2931,766
941,2939,757
946,2952,751
951,2957,759
956,2977,728
961,2985,729
966,2998,767
971,3007,789
976,3034,795
981,3056,759
986,3079,756
991,3096,756
996,3121,781
1001,3134,788
1006,3176,825
1011,3191,876
1016,3202,836
1021,3233,800
1026,3248,782
1031,3277,786
1036,3293,840
1041,3294,835
1046,3302,857
1051,3305,849
1056,3308,804
1061,3324,816
1066,3336,825
1071,3352,867
1076,3372,909
1081,3391,941
1086,3415,977
1091,3424,945
1096,3444,925
1101,3452,932
1106,3463,908
1111,3481,918
1116,3487,919
1121,3493,911
1126,3493,905
1131,3507,859
1136,3534,846
1141,3552,858
1146,3573,893
1151,3596,920
1156,3598,959
1161,3610,1001
1166,3646,939
1171,3665,967
1176,3702,969
1181,3724,962
1186,3741,979
1191,3757,966
1196,3760,1009
1201,3766,1027
1206,3788,987
1211,3794,1001
1216,3803,1023
1221,3801,1029
1226,3815,1074
1231,3819,1152
1236,3813,1238
1241,3836,1207
1246,3845,1201
1251,3867,1155
1256,3868,1108
1261,3874,1074
1266,3897,1082
1271,3914,1091
1276,3926,1042
1281,3946,994
1286,3953,992
1291,3970,1012
1296,3989,1052
1301,4001,1118
1306,4023,1149
1311,4029,1179
1316,4053,1141
1321,4063,1179
1326,4069,1177
1331,4073,1156
1336,4103,1166
1341,4109,1119
1346,4133,1125
1351,4145,1141
1356,4153,1154
1361,4179,1178
1366,4175,1196
1371,4173,1219
1376,4163,1215
1381,4164,1300
1386,4170,1347
1391,4175,1372
1396,4175,1378
1401,4170,1356
1406,4176,1308
1411,4183,1296
1416,4211,1289
1421,4223,1289
1426,4231,1254
1431,4256,1225
1436,4267,1202
1441,4293,1199
1446,4294,1255
1451,4295,1305
1456,4312,1336
1461,4333,1392
1466,4347,1363
1471,4345,1356
1476,4339,1340
1481,4363,1344
1486,4378,1329
1491,4385,1344
1496,4382,1382
1501,4400,1376
1506,4422,1322
1511,4422,1349
1516,4434,1332
1521,4445,1361
1526,4454,1387
1531,4467,1446
1536,4482,1492
1541,4483,1525
1546,4489,1518
1551,4493,1533
1556,4500,1473
1561,4508,1460
1566,4516,1430
1571,4520,1428
1576,4530,1386
1581,4541,1291
1586,4543,1276
1591,4561,1277
1596,4568,1320
1601,4589,1377
1606,4606,1425
1611,4612,1480
1616,4620,1426
1621,4636,1432
1626,4642,1436
1631,4657,1479
1636,4662,1527
1641,4669,1537
1646,4675,1548
1651,4670,1575
1656,4684,1599
1661,4702,1591
1666,4715,1621
1671,4718,1589
1676,4721,1605
1681,4740,1626
1686,4770,1627
1691,4776,1646
1696,4798,1654
1701,4804,1652
1706,4822,1636
1711,4841,1655
1716,4850,1665
1721,4867,1646
1726,4882,1592
1731,4896,1570
1736,4907,1548
1741,4916,1537
1746,4931,1552
1751,4943,1599
1756,4958,1632
1761,4969,1667
1766,4965,1638
1771,4974,1641
1776,4985,1660
1781,4996,1703
1786,5002,1755
1791,5006,1726
1796,5011,1743
1801,5019,1763
1806,5033,1743
1811,5050,1736
1816,5047,1746
1821,5050,1753
1826,5068,1805
1831,5056,1801
1836,5060,1850
1841,5062,1862
1846,5071,1849
1851,5076,1848
1856,5086,1821
1861,5109,1835
1866,5117,1865
1871,5138,1861
1876,5160,1854
1881,5186,1783
1886,5199,1764
1891,5213,1742
1896,5223,1743
1901,5245,1762
1906,5264,1813
1911,5269,1848
1916,5285,1844
1921,5308,1865
1926,5322,1878
1931,5332,1892
1936,5345,1966
1941,5347,1959
1946,5362,2006
1951,5371,1977
1956,5373,1955
1961,5392,2011
1966,5413,2000
