t,n,stopped
1,8,0
6,43,0
11,73,0
16,95,1
21,130,2
26,162,1
31,191,2
36,223,6
41,260,6
46,294,10
51,325,15
56,361,17
61,399,21
66,430,37
71,472,43
76,501,53
81,537,55
86,570,60
91,602,75
96,641,88
101,672,105
106,703,121
111,744,127
116,784,115
121,811,117
126,856,112
131,889,118
136,908,120
141,940,131
146,967,134
151,990,131
156,1015,129
161,1054,136
166,1069,145
171,1092,160
176,1126,180
181,1150,185
186,1165,196
191,1185,193
196,1209,204
201,1243,224
206,1267,218
211,1299,221
216,1335,227
221,1364,209
226,1386,197
231,1411,198
236,1443,197
241,1464,209
246,1481,207
251,1509,217
256,1523,246
261,1550,247
266,1575,232
271,1593,258
276,1612,256
281,1630,226
286,1661,229
291,1685,229
296,1698,244
301,1709,242
306,1727,232
311,1746,245
316,1758,248
321,1776,254
326,1788,279
331,1799,314
336,1815,344
341,1841,355
346,1867,369
351,1885,358
356,1897,344
361,1918,335
366,1938,353
371,1960,357
376,1972,355
381,1987,302
386,2000,297
391,2014,294
396,2023,312
401,2032,325
406,2043,337
411,2058,356
416,2074,324
421,2090,353
426,2108,349
431,2127,365
436,2138,392
441,2151,364
446,2157,370
451,2163,366
456,2169,350
461,2185,353
466,2194,335
471,2199,363
476,2202,390
481,2207,435
486,2212,434
491,2219,451
496,2231,447
501,2254,448
506,2258,420
511,2261,423
516,2273,439
521,2292,451
526,2306,455
531,2326,430
536,2352,448
541,2353,432
546,2361,458
551,2366,481
556,2375,536
561,2375,566
566,2373,520
571,2379,513
576,2387,489
581,2399,474
586,2408,478
591,2419,487
596,2429,514
601,2443,499
606,2456,457
611,2468,444
616,2477,415
621,2490,434
626,2488,465
631,2502,517
636,2516,552
641,2514,557
646,2506,566
651,2506,564
656,2512,563
661,2520,583
666,2537,602
671,2534,622
676,2546,591
681,2555,564
686,2561,565
691,2568,577
696,2572,603
701,2589,570
706,2599,587
711,2619,607
716,2638,563
721,2665,574
726,2673,552
731,2684,543
736,2701,534
741,2718,525
746,2725,546
751,2732,565
756,2739,559
761,2756,557
766,2741,536
771,2738,551
776,2734,575
781,2745,623
786,2742,652
791,2743,681
796,2743,689
801,2739,702
806,2734,673
811,2734,674
816,2748,695
821,2757,712
826,2760,691
831,2768,643
836,2779,650
841,2789,669
846,2823,711
851,2833,742
856,2831,766
861,2850,765
866,2866,743
871,2865,740
876,2870,718
881,2865,705
886,2863,713
891,2865,679
896,2856,673
901,2847,678
906,2863,649
911,2882,672
916,2893,702
921,2918,707
926,2941,742
931,2958,749
936,2972,738
941,2981,742
946,2992,707
951,3001,753
956,3018,700
961,3026,714
966,3037,733
971,3045,786
976,3057,803
981,3074,779
986,3099,765
991,3119,724
996,3140,737
1001,3157,758
1006,3202,771
1011,3227,820
1016,3245,828
1021,3272,860
1026,3300,866
1031,3315,868
1036,3323,896
1041,3329,929
1046,3351,977
1051,3368,1001
1056,3376,927
1061,3399,941
1066,3399,926
1071,3406,925
1076,3419,962
1081,3435,920
1086,3449,891
1091,3453,870
1096,3465,841
1101,3473,812
1106,3492,787
1111,3509,794
1116,3522,781
1121,3544,788
1126,3554,798
1131,3574,778
1136,3591,778
1141,3602,791
1146,3625,833
1151,3631,840
1156,3644,885
1161,3663,926
1166,3701,966
1171,3727,1027
1176,3767,1047
1181,3780,1073
1186,3801,1078
1191,3821,1123
1196,3839,1178
1201,3853,1213
1206,3875,1156
1211,3885,1134
1216,3901,1138
1221,3907,1140
1226,3910,1194
1231,3917,1161
1236,3922,1183
1241,3939,1183
1246,3939,1197
1251,3960,1201
1256,3951,1155
1261,3977,1092
1266,4007,1011
1271,4024,1025
1276,4037,1044
1281,4052,993
1286,4069,989
1291,4090,1000
1296,4103,1024
1301,4115,1064
1306,4142,1094
1311,4144,1149
1316,4167,1159
1321,4189,1184
1326,4201,1237
1331,4211,1231
1336,4234,1293
1341,4250,1350
1346,4284,1393
1351,4308,1410
1356,4316,1359
1361,4324,1383
1366,4330,1372
1371,4321,1393
1376,4316,1447
1381,4307,1436
1386,4312,1417
1391,4313,1456
1396,4326,1464
1401,4332,1477
1406,4341,1444
1411,4345,1425
1416,4361,1387
1421,4368,1360
1426,4373,1292
1431,4385,1250
1436,4398,1210
1441,4419,1233
1446,4429,1239
1451,4450,1289
1456,4459,1360
1461,4486,1413
1466,4504,1448
1471,4519,1502
1476,4532,1465
1481,4565,1489
1486,4590,1534
1491,4607,1650
1496,4616,1705
1501,4646,1726
1506,4663,1686
1511,4680,1692
1516,4676,1720
1521,4671,1736
1526,4688,1788
1531,4695,1739
1536,4713,1716
1541,4718,1713
1546,4724,1749
1551,4735,1743
1556,4732,1729
1561,4740,1643
1566,4753,1604
1571,4769,1565
1576,4774,1521
1581,4794,1499
1586,4804,1457
1591,4824,1436
1596,4834,1467
1601,4855,1521
1606,4862,1612
1611,4867,1667
1616,4876,1738
1621,4903,1791
1626,4923,1822
1631,4939,1828
1636,4942,1912
1641,4953,1983
1646,4972,2029
1651,4986,2098
1656,4997,2107
1661,5012,2105
1666,5020,2088
1671,5016,2066
1676,5021,2076
1681,5025,2002
1686,5042,1952
1691,5043,1902
1696,5062,1893
1701,5074,1878
1706,5100,1908
1711,5125,1858
1716,5149,1784
1721,5166,1770
1726,5174,1722
1731,5187,1702
1736,5193,1683
1741,5192,1704
1746,5201,1711
1751,5217,1763
1756,5226,1794
1761,5249,1858
1766,5249,1922
1771,5259,1977
1776,5269,2005
1781,5286,2014
1786,5295,2074
1791,5314,2140
1796,5343,2180
1801,5376,2207
1806,5400,2159
1811,5432,2169
1816,5448,2210
1821,5457,2163
1826,5482,2153
1831,5485,2059
1836,5491,2005
1841,5507,2029
1846,5490,2032
1851,5492,2066
1856,5500,2056
1861,5519,2039
1866,5529,2001
1871,5547,2008
1876,5569,1950
1881,5587,1906
1886,5603,1863
1891,5605,1876
1896,5607,1883
1901,5634,1979
1906,5648,2051
1911,5657,2071
1916,5663,2114
1921,5676,2135
1926,5679,2233
1931,5682,2235
1936,5704,2298
1941,5705,2356
1946,5712,2410
1951,5729,2473
1956,5738,2400
1961,5743,2450
