t,n,stopped
1971,5678,2406
1976,5690,2451
1981,5695,2395
1986,5697,2386
1991,5704,2350
1996,5724,2326
2001,5731,2337
2006,5747,2345
2011,5764,2339
2016,5770,2280
2021,5786,2229
2026,5798,2180
2031,5811,2144
2036,5823,2125
2041,5837,2097
2046,5856,2070
2051,5863,2094
2056,5868,2161
2061,5884,2232
2066,5906,2277
2071,5927,2410
2076,5938,2398
2081,5951,2443
2086,5974,2525
2091,5982,2564
2096,5988,2649
2101,6005,2684
2106,6003,2652
2111,6021,2622
2116,6025,2594
2121,6032,2621
2126,6032,2677
2131,6057,2659
2136,6077,2667
2141,6107,2676
2146,6114,2619
2151,6126,2619
2156,6142,2647
2161,6162,2611
2166,6195,2621
2171,6215,2582
2176,6237,2496
2181,6246,2461
2186,6257,2417
2191,6271,2441
2196,6278,2451
2201,6282,2414
2206,6283,2427
2211,6298,2485
2216,6297,2523
2221,6294,2602
2226,6295,2616
2231,6306,2687
2236,6307,2751
2241,6321,2789
2246,6332,2904
2251,6343,2947
2256,6343,2884
2261,6356,2914
2266,6360,2926
2271,6365,2924
2276,6361,2962
2281,6366,2957
2286,6372,2867
2291,6382,2867
2296,6382,2904
2301,6390,2851
2306,6399,2803
2311,6409,2850
2316,6419,2806
2321,6435,2838
2326,6446,2803
2331,6461,2715
2336,6493,2648
2341,6507,2617
2346,6525,2608
2351,6532,2703
2356,6555,2708
2361,6567,2795
2366,6578,2806
2371,6599,2880
2376,6604,2898
2381,6610,2935
2386,6638,2984
2391,6659,3089
2396,6675,3109
2401,6675,3156
2406,6680,3106
2411,6695,3123
2416,6684,3055
2421,6686,3086
2426,6692,3076
2431,6708,3038
2436,6719,3028
2441,6730,2988
2446,6735,2976
2451,6735,3028
2456,6740,3067
2461,6740,3038
2466,6753,2976
2471,6765,3019
2476,6771,2983
2481,6779,2953
2486,6784,2872
2491,6798,2815
2496,6804,2804
2501,6815,2838
2506,6809,2872
2511,6829,2936
2516,6842,3022
2521,6851,3071
2526,6860,3102
2531,6864,3130
2536,6870,3196
2541,6892,3312
2546,6903,3311
2551,6918,3361
2556,6916,3270
2561,6908,3219
2566,6901,3215
2571,6884,3212
2576,6883,3242
2581,6875,3237
2586,6863,3190
2591,6853,3151
2596,6842,3102
2601,6843,3107
2606,6851,3112
2611,6848,3113
2616,6867,3108
2621,6867,3061
2626,6879,3034
2631,6900,2988
2636,6912,2981
2641,6930,2955
2646,6948,2866
2651,6961,2905
2656,6974,2889
2661,6978,2927
2666,6979,3017
2671,6982,3104
2676,6991,3188
2681,7000,3163
2686,7016,3195
2691,7027,3206
2696,7020,3260
2701,7033,3266
2706,7038,3177
2711,7034,3208
2716,7033,3199
2721,7023,3237
2726,7025,3231
2731,7012,3254
2736,7014,3288
2741,7002,3297
2746,6989,3311
2751,6999,3281
2756,6999,3285
2761,7006,3275
2766,7020,3323
2771,7018,3245
2776,7031,3212
2781,7045,3109
2786,7051,3130
2791,7042,3066
2796,7021,3084
2801,7022,3064
2806,7036,3103
2811,7057,3073
2816,7068,3081
2821,7067,3165
2826,7058,3208
2831,7066,3274
2836,7052,3355
2841,7054,3401
2846,7058,3395
2851,7057,3437
2856,7067,3376
2861,7090,3394
2866,7094,3365
2871,7082,3351
2876,7066,3403
2881,7054,3403
2886,7036,3416
2891,7045,3418
2896,7028,3412
2901,7015,3366
2906,7004,3358
2911,6994,3327
2916,6993,3296
2921,6991,3298
2926,6985,3262
2931,6973,3254
2936,6973,3240
2941,6985,3179
2946,6990,3199
2951,7000,3217
2956,7003,3189
2961,7016,3230
2966,7012,3335
2971,7006,3342
2976,7007,3307
2981,7017,3389
2986,7008,3417
2991,7010,3494
2996,7024,3620
3001,7020,3630
3006,7005,3497
3011,7013,3491
3016,6988,3490
3021,6980,3514
3026,6968,3526
3031,6959,3515
3036,6956,3465
3041,6956,3421
3046,6955,3444
3051,6948,3458
3056,6950,3457
3061,6952,3469
3066,6950,3435
3071,6941,3388
3076,6938,3367
3081,6948,3319
3086,6954,3273
3091,6945,3252
3096,6939,3285
3101,6937,3251
3106,6949,3250
3111,6956,3282
3116,6947,3291
3121,6956,3342
3126,6973,3429
3131,6974,3466
3136,6977,3488
3141,6995,3570
3146,7010,3689
3151,7028,3802
3156,7031,3753
3161,7031,3702
3166,7023,3648
3171,7025,3614
3176,7008,3681
3181,7004,3608
3186,7016,3547
3191,7011,3596
3196,6997,3559
3201,6987,3569
3206,6984,3525
3211,6975,3526
3216,6970,3506
3221,6972,3519
3226,6975,3529
3231,6994,3473
3236,6992,3420
3241,7004,3316
3246,7012,3332
3251,7031,3345
3256,7047,3426
3261,7057,3420
3266,7078,3437
3271,7075,3483
3276,7066,3530
3281,7063,3520
3286,7066,3578
3291,7064,3690
3296,7060,3740
3301,7063,3793
3306,7065,3735
3311,7083,3756
3316,7080,3770
3321,7076,3710
3326,7080,3777
3331,7067,3724
3336,7064,3702
3341,7062,3684
3346,7072,3655
3351,7062,3723
3356,7073,3667
3361,7072,3686
3366,7066,3658
3371,7077,3663
3376,7077,3624
3381,7082,3547
3386,7086,3511
3391,7082,3475
3396,7064,3403
3401,7065,3434
3406,7065,3455
3411,7063,3490
3416,7080,3506
3421,7090,3542
3426,7090,3591
3431,7100,3599
3436,7106,3663
3441,7102,3788
3446,7101,3818
3451,7097,3878
3456,7094,3784
3461,7092,3799
3466,7091,3815
3471,7095,3875
3476,7089,3937
3481,7089,3849
3486,7087,3782
3491,7079,3776
3496,7076,3798
3501,7074,3773
3506,7075,3743
3511,7073,3685
3516,7076,3628
3521,7074,3609
3526,7076,3618
3531,7083,3568
3536,7082,3527
3541,7106,3470
3546,7114,3509
3551,7103,3540
3556,7117,3556
3561,7128,3589
3566,7143,3634
3571,7146,3696
3576,7144,3708
3581,7148,3734
3586,7156,3780
3591,7170,3794
3596,7181,3918
3601,7187,3988
3606,7186,3911
3611,7177,3880
3616,7178,3920
3621,7163,3908
3626,7165,3972
3631,7157,3927
3636,7135,3880
3641,7132,3828
3646,7120,3786
3651,7122,3810
3656,7105,3802
3661,7096,3741
3666,7096,3670
3671,7094,3619
3676,7081,3589
3681,7068,3566
3686,7060,3536
3691,7060,3489
3696,7060,3557
3701,7056,3591
3706,7065,3641
3711,7068,3676
3716,7068,3709
3721,7070,3758
3726,7061,3765
3731,7056,3859
3736,7041,3858
3741,7027,3931
3746,7030,3890
3751,7040,3959
3756,7058,3896
3761,7063,3933
3766,7039,3943
3771,7042,4011
3776,7047,4065
3781,7039,4052
3786,7033,3986
3791,7033,3990
3796,7037,3947
3801,7025,3913
3806,7018,3871
3811,7010,3805
3816,7003,3768
3821,6999,3728
3826,6985,3682
3831,6993,3638
3836,6997,3572
3841,6987,3537
3846,6976,3519
3851,6970,3558
3856,6966,3540
3861,6965,3542
3866,6960,3636
3871,6950,3693
3876,6948,3695
3881,6948,3742
3886,6951,3775
3891,6960,3874
3896,6953,3927
3901,6948,3924
3906,6937,3851
3911,6938,3848
3916,6923,3886
3921,6900,3915
3926,6888,3926
3931,6875,3863
3936,6875,3840
3941,6873,3853
3946,6875,3871
3951,6879,3902
3956,6885,3859
3961,6899,3824
3966,6902,3772
3971,6900,3745
3976,6893,3671
3981,6885,3634
3986,6886,3605
3991,6877,3592
3996,6884,3557
4001,6897,3624
4006,6896,3631
4011,6905,3697
4016,6902,3730
4021,6901,3808
4026,6903,3836
4031,6905,3795
4036,6909,3856
4041,6897,3870
4046,6892,3869
4051,6891,3951
4056,6900,3919
4061,6913,3883
4066,6912,3873
4071,6911,3923
4076,6899,3936
4081,6898,3894
4086,6900,3828
4091,6894,3869
4096,6886,3847
4101,6896,3838
4106,6893,3807
4111,6904,3767
4116,6911,3775
4121,6914,3753
4126,6920,3711
4131,6921,3683
4136,6924,3610
4141,6925,3621
4146,6917,3659
4151,6926,3688
4156,6933,3728
4161,6927,3781
4166,6921,3821
4171,6926,3896
4176,6927,3943
4181,6940,3996
4186,6945,3990
4191,6955,4029
4196,6952,4024
4201,6945,4056
4206,6940,4049
4211,6952,4025
4216,6942,4026
4221,6945,4027
4226,6941,4089
4231,6935,3996
4236,6938,4006
4241,6943,3992
4246,6937,3976
4251,6939,3945
4256,6946,3916
4261,6954,3876
4266,6971,3878
4271,6986,3898
4276,6986,3881
4281,7003,3845
4286,7010,3827
4291,7019,3779
4296,7031,3803
4301,7032,3857
4306,7039,3926
4311,7049,3939
4316,7056,3971
4321,7056,4071
4326,7057,4033
4331,7064,4057
4336,7074,4119
4341,7077,4162
4346,7067,4194
4351,7064,4244
4356,7066,4173
4361,7078,4153
4366,7089,4194
4371,7103,4220
4376,7117,4217
4381,7120,4223
4386,7128,4200
4391,7134,4212
4396,7133,4109
4401,7134,4122
4406,7124,4135
4411,7125,4123
4416,7110,4106
4421,7109,4123
4426,7124,4071
4431,7126,4093
4436,7126,4003
4441,7129,3921
4446,7124,3892
4451,7121,3798
4456,7114,3818
4461,7108,3852
4466,7118,3845
4471,7127,3932
4476,7140,3936
4481,7138,3938
4486,7132,4017
4491,7135,4057
4496,7145,4147
4501,7156,4186
4506,7154,4145
4511,7159,4149
4516,7147,4124
4521,7152,4175
4526,7157,4221
4531,7154,4219
4536,7150,4176
4541,7139,4137
4546,7137,4103
4551,7144,4085
4556,7145,4058
4561,7151,4067
4566,7159,4089
4571,7161,4067
4576,7150,4064
4581,7142,3924
4586,7139,3881
4591,7141,3868
4596,7151,3838
4601,7140,3860
4606,7125,3865
4611,7120,3893
4616,7123,3907
4621,7113,3982
4626,7102,3973
4631,7098,4014
4636,7104,4031
4641,7111,4051
4646,7107,4110
4651,7095,4174
4656,7097,4136
4661,7100,4140
4666,7100,4159
4671,7092,4167
4676,7080,4181
4681,7076,4212
4686,7069,4195
4691,7070,4173
4696,7067,4122
4701,7061,4072
4706,7048,4043
4711,7048,4030
4716,7048,4034
4721,7055,4046
4726,7053,4053
4731,7057,3993
4736,7058,3974
4741,7068,3976
4746,7049,3950
4751,7036,3972
4756,7034,4011
4761,7026,4038
4766,7017,4032
4771,7004,4091
4776,6989,4017
4781,6976,4055
4786,6972,4095
4791,6966,4188
4796,6968,4152
4801,6970,4149
4806,6963,4133
4811,6962,4134
4816,6968,4129
4821,6973,4123
4826,6961,4197
4831,6949,4125
4836,6943,4060
4841,6934,4030
4846,6911,3994
4851,6906,4009
4856,6906,3979
4861,6910,3943
4866,6921,3945
4871,6922,3871
4876,6921,3884
4881,6904,3876
4886,6899,3868
4891,6893,3826
4896,6889,3863
4901,6890,3957
4906,6884,3977
4911,6893,4034
4916,6904,4033
4921,6908,4043
4926,6903,3957
4931,6908,3976
4936,6913,4015
4941,6909,4070
4946,6896,4123
4951,6895,4110
4956,6899,4074
4961,6892,4053
4966,6890,4066
4971,6892,4099
4976,6881,4083
4981,6872,4061
4986,6867,3989
4991,6867,3947
4996,6868,3946
5001,6853,3976
5006,6856,3913
5011,6859,3932
5016,6861,3890
5021,6865,3848
5026,6870,3821
5031,6866,3759
5036,6864,3724
5041,6862,3728
5046,6874,3774
5051,6872,3806
5056,6871,3834
5061,6873,3896
5066,6872,3916
5071,6876,3955
5076,6866,3960
5081,6860,3925
5086,6854,3914
5091,6851,3944
5096,6857,3999
5101,6853,3982
5106,6861,3935
5111,6870,3981
5116,6870,3968
5121,6858,3938
5126,6842,3999
5131,6831,4025
5136,6826,4002
5141,6817,3968
5146,6815,3941
5151,6827,3927
5156,6821,3927
5161,6827,3911
5166,6847,3887
5171,6845,3960
5176,6842,3863
5181,6847,3772
5186,6853,3749
5191,6870,3740
5196,6857,3713
5201,6856,3755
5206,6849,3758
5211,6854,3757
5216,6845,3807
5221,6840,3893
5226,6843,3861
5231,6847,3875
5236,6844,3885
5241,6848,3974
5246,6844,3956
5251,6845,3976
5256,6850,3920
5261,6856,3958
5266,6852,3911
5271,6846,3987
5276,6848,3996
5281,6825,3933
5286,6818,3943
5291,6827,3879
5296,6816,3895
5301,6803,3904
5306,6792,3913
5311,6799,3895
5316,6808,3854
5321,6805,3843
5326,6796,3813
5331,6790,3831
5336,6792,3815
5341,6792,3735
5346,6781,3713
5351,6782,3732
5356,6786,3781
5361,6779,3805
5366,6782,3886
5371,6780,3866
5376,6784,3866
5381,6775,3828
5386,6778,3911
5391,6791,3928
5396,6783,3946
