t,ramp_q_veh,ramp_q_pen,dens_pen,dens_stress,best_intent_NUF,selected_NUF
900,8,0.0,0,0.0,7200.0,7054.584129162228
1050,8,0.0,0,0.0,7200.0,7200.0
1200,9,0.0,0,0.0,7200.0,7200.0
1350,9,0.0,32,0.0,7200.0,7015.888264980464
1500,9,0.0,98,0.0,7200.0,7200.0
1650,9,0.0,178,0.16,7200.0,6963.304041422267
1800,98,0.0,245,0.35,1800.0,1800.0
1950,230,0.0,328,0.48,3000.0,3000.0
2100,457,0.0,406,0.66,1440.0,1440.0
2250,507,0.0,477,0.78,1440.0,2640.0
2400,286,0.0,544,0.92,1440.0,3840.0
2550,225,0.0,572,1.0,1800.0,4440.0
2700,197,0.0,600,1.0,1440.0,4800.0
2850,234,0.0,627,1.0,1440.0,5100.0
3000,254,0.0,646,1.0,5400.0,5400.0
3150,285,0.0,664,1.0,5400.0,5400.0
3300,301,0.0,674,1.0,5400.0,5400.0
3450,334,0.0,665,1.0,5400.0,5400.0
3600,350,0.0,554,1.0,5400.0,5400.0
3750,325,0.0,545,1.0,1440.0,1440.0
3900,340,0.0,544,1.0,2108.572660329479,2108.572660329479
4050,509,0.0,547,1.0,1508.5726603294788,1508.5726603294788
4200,579,0.0,570,1.0,2708.572660329479,2708.572660329479
4350,612,0.0,582,1.0,3600.1491812115833,3600.1491812115833
4500,546,0.0,523,1.0,1440.0,1440.0
4650,595,0.0,516,1.0,2147.370553554238,2147.370553554238
4800,628,0.0,506,1.0,3047.370553554238,3047.370553554238
4950,510,0.0,522,1.0,3880.6133154369154,3880.6133154369154
5100,434,0.0,517,1.0,1440.0,1440.0
5250,475,0.0,502,1.0,2039.999999988642,2039.9999999886418
5400,563,0.0,484,1.0,1440.0,1440.0
