t,ramp_q_veh,ramp_q_pen,dens_pen,dens_stress,best_intent_NUF,selected_NUF
900,0,0.0,0,0.0,7200.0,7200.0
1050,0,0.0,2,0.0,7200.0,7095.611822216579
1200,0,0.0,5,0.0,7200.0,7200.0
1350,0,0.0,12,0.0,7200.0,7200.0
1500,0,0.0,46,0.0,5130.0,5130.0
1650,0,0.0,114,0.0,1440.0,5730.0
1800,0,0.0,186,0.12,1440.0,6330.0
1950,0,0.0,265,0.25,1440.0,6798.405406141685
2100,179,0.0,314,0.42,1440.0,1440.0000000000002
2250,392,0.0,375,0.51,2640.0,2640.0
2400,366,0.0,438,0.63,1440.0,3840.0
2550,270,0.0,479,0.74,1440.0,4868.766259295038
2700,182,0.0,498,0.76,1440.0,5611.46104321584
2850,51,0.0,521,0.86,1440.0,6211.46104321584
3000,0,0.0,524,0.91,1440.0,6811.46104321584
3150,0,0.0,520,0.9,1440.0,7200.0
3300,0,0.0,526,0.88,1440.0,7200.0
3450,0,0.0,504,0.79,1440.0,7200.0
3600,0,0.0,408,0.82,1440.0,7200.0
3750,117,0.0,364,0.74,1440.0,1440.0
3900,234,0.0,357,0.69,2640.0,2640.0
4050,329,0.0,369,0.63,1440.0,3840.0
4200,318,0.0,367,0.68,1440.0,1440.0
4350,428,0.0,362,0.63,1800.0,1800.0
4500,557,0.0,252,0.59,1800.0,1799.9999999999998
4650,572,0.0,250,0.61,3000.0,3000.0
4800,477,0.0,279,0.62,4072.648407799551,4072.648407799551
4950,471,0.0,234,0.59,1440.0,1440.0
5100,567,0.0,228,0.62,1800.0,1800.0
5250,604,0.0,186,0.47,1500.0,1500.0
5400,644,0.0,168,0.47,2700.0,2700.0
