run,t,rc_R_D_W,rc_R_D_E,rc_R_F_W,rc_R_F_E,rc_D,rc_F,lc_32,ls_32,lt_32,lc_29,ls_29,lt_29,lc_37,ls_37,lt_37,lc_40,ls_40,lt_40,lc_66,ls_66,lt_66,lc_420,ls_420,lt_420,lc_329,ls_329,lt_329,far_10482,far_10490,far_10480,far_10484,far_10646,far_10681,qb_32_L1_n,qb_32_L1_stop,qb_32_L1_minstopbin_m,qb_32_L2_n,qb_32_L2_stop,qb_32_L2_minstopbin_m,qb_32_L3_n,qb_32_L3_stop,qb_32_L3_minstopbin_m,vr_32_L1_n,vr_32_L1_stop,vr_32_L1_minstoppos,vr_32_L2_n,vr_32_L2_stop,vr_32_L2_minstoppos,vr_32_L3_n,vr_32_L3_stop,vr_32_L3_minstoppos,vr_32_L4_n,vr_32_L4_stop,vr_32_L4_minstoppos,vr_31_L1_n,vr_31_L1_stop,vr_31_L1_minstoppos,vr_31_L2_n,vr_31_L2_stop,vr_31_L2_minstoppos,vr_31_L3_n,vr_31_L3_stop,vr_31_L3_minstoppos,vr_31_L4_n,vr_31_L4_stop,vr_31_L4_minstoppos,vr_68_L1_n,vr_68_L1_stop,vr_68_L1_minstoppos,vr_68_L2_n,vr_68_L2_stop,vr_68_L2_minstoppos,vr_68_L3_n,vr_68_L3_stop,vr_68_L3_minstoppos,vr_68_L4_n,vr_68_L4_stop,vr_68_L4_minstoppos,vr_10482_n,vr_10490_n,vr_10480_n,vr_10484_n,vr_10646_n,vr_10681_n,stopped_vehicles,total_vehicles,ramp_vehicles,meter_R_D_W,meter_R_F_W,meter_R_D_E,meter_R_F_E,g_SC1001_p1,g_SC1001_p2,g_SC1001_p3,g_SC1001_p4,g_SC1004_p1,g_SC1004_p2,g_SC1004_p3,g_SC1004_p4,md_controller,md_controller_variant,md_tuning_name,md_F_ramp_mode,md_ramp_obs_R_D_W_queue_veh,md_ramp_obs_R_D_W_queue_cap_veh,md_ramp_obs_R_D_W_occupancy,md_ramp_obs_R_D_W_merge_controllable_veh_h,md_ramp_obs_R_D_W_merge_uncontrollable_veh_h,md_ramp_obs_R_D_W_controllable_share,md_far_rate_est_ramp_R_D_W,md_far_rate_obs_ramp_R_D_W,md_boundary_out_ramp_split_SC1001_W_out_free,md_boundary_out_ramp_split_SC1001_W_out_R_D_E,md_boundary_out_ramp_split_SC1001_W_out_R_D_W,pred_ramp_queue_R_D_W,pred_ramp_queue_total,N_UF_star,N_P_star,dg_wu_pre_refine_SC1001_p1,dg_wu_pre_refine_SC1001_p2,dg_wu_pre_refine_SC1001_p3,dg_wu_pre_refine_SC1001_p4,dg_wu_phase_price_SC1001_p1,dg_wu_phase_price_SC1001_p2,dg_wu_phase_price_SC1001_p3,dg_wu_phase_price_SC1001_p4,dg_leader_search_ramp_queue_stress,dg_leader_ramp_queue_veh,dg_leader_ramp_queue_penalty,dg_leader_selected_N_P_star,dg_leader_selected_N_UF_star,dg_leader_selected_intent_N_P_star,dg_leader_selected_intent_N_UF_star,dg_leader_selected_realized_N_P_star,dg_leader_selected_projected_N_P_star,dg_leader_selected_realized_N_UF_star,dg_leader_selected_objective,dg_leader_selected_stage_coarse,dg_leader_selected_stage_refined,dg_leader_selected_stage_fallback,dg_leader_selected_stage_fallback_pfo,dg_leader_selected_stage_fallback_no_control,dg_wu_b3_meter_fd3_R_D_W_lo,dg_wu_b3_meter_fd3_R_D_W_base,dg_wu_b3_meter_fd3_R_D_W_hi,dg_wu_b3_meter_fd3_R_D_W_curv,dg_wu_b3_meter_fd3_R_D_W_nonlin,dg_wu_b3_meter_fd3_R_D_W_cliffup,dg_wu_b3_meter_price_R_D_W,dg_wu_b3_meter_price_ref_R_D_W,dg_wu_b3cert_R_D_W,dg_leg_ramp_split_injected_R_D_W
h11_canon0905_lcd1000_x18_20260907,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,8,0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,NoControl,no-control,canon_farbn_d00_x18_20260901,metered,0.0,153.2,0.0,0.0,0.0,0.0,1241.76,0.0,0.25,0.25,0.5,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h11_canon0905_lcd1000_x18_20260907,150,5,6,0,0,11,0,42,2,1948.072685,0,0,0.0,5,1,533.403299,0,0,0.0,25,0,0.0,0,0,0.0,0,0,0.0,105.065514,62.517311,0.0,59.618589,0.0,0.0,19,2,1946.0,18,0,,5,0,,19,2,1948.07268470437,18,0,,5,0,,0,0,,7,0,,2,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5,4,0,2,0,0,134,988,11,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,NoControl,no-control,canon_farbn_d00_x18_20260901,metered,5.0,153.2,0.03263707571801567,0.0,105.065514,0.0,1235.5511999999999,105.065514,0.25,0.25,0.5,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h11_canon0905_lcd1000_x18_20260907,300,4,3,18,0,7,18,56,4,1942.747346,0,0,0.0,16,2,533.074983,0,0,0.0,42,8,2628.112438,8,0,0.0,0,0,0.0,769.933211,361.162173,48.0,327.74148,81.814048,0.0,25,3,1939.0,23,1,1953.0,8,0,,25,3,1942.74734647255,23,1,1954.1592551107,8,0,,0,0,,9,0,,5,0,,1,0,,0,0,,12,0,,12,0,,9,0,,3,0,,4,1,0,2,2,0,243,1702,25,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,NoControl,no-control,canon_farbn_d00_x18_20260901,metered,4.0,153.2,0.026109660574412535,48.0,769.933211,0.05868449814052116,1229.3734439999998,817.933211,0.25,0.25,0.5,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h11_canon0905_lcd1000_x18_20260907,450,10,5,17,1,15,18,67,22,1883.383092,0,0,0.0,6,2,532.924982,1,0,0.0,50,16,2569.604785,25,0,0.0,0,0,0.0,719.190684,239.50404,72.0,376.126544,261.026513,264.0,28,11,1890.0,29,10,1883.0,10,1,1925.0,28,11,1893.83100139458,29,10,1883.38309162653,10,1,1928.02140809467,0,0,,12,0,,13,0,,11,0,,0,0,,12,1,230.342482373406,10,0,,5,0,,6,0,,10,3,0,2,8,0,373,2158,33,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,NoControl,no-control,canon_farbn_d00_x18_20260901,metered,10.0,153.2,0.06527415143603134,72.0,719.190684,0.09100208262816198,1223.2265767799997,791.190684,0.25,0.25,0.5,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h11_canon0905_lcd1000_x18_20260907,600,4,6,29,1,10,30,89,31,1773.5837,5,4,523.39842,12,2,527.527747,7,5,1234.189379,51,23,2531.163163,25,0,0.0,2,0,0.0,528.173758,318.746702,144.0,488.355437,449.097493,216.0,34,15,1855.0,33,12,1834.0,22,4,1771.0,34,15,1861.14462563335,33,12,1837.95063047342,22,4,1773.58369964548,0,0,,10,0,,12,0,,5,0,,0,0,,10,0,,12,0,,7,0,,7,0,,4,3,0,3,5,0,493,2436,40,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,NoControl,no-control,canon_farbn_d00_x18_20260901,metered,4.0,153.2,0.026109660574412535,144.0,528.173758,0.21423032108313875,1217.1104438960997,672.173758,0.25,0.25,0.5,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h11_canon0905_lcd1000_x18_20260907,750,6,4,11,0,10,11,142,58,1620.736898,5,5,518.02961,7,5,522.1021,4,0,0.0,65,27,2498.271286,25,0,0.0,10,3,0.09878,736.912795,233.203388,240.0,506.986993,303.633964,312.0,51,15,1624.0,51,20,1617.0,40,23,1617.0,51,15,1626.37104140539,51,20,1620.73689783387,40,23,1620.8115600995,0,0,,21,0,,15,0,,9,0,,0,0,,22,0,,13,0,,11,0,,8,0,,6,1,0,3,4,0,548,2726,21,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,NoControl,no-control,canon_farbn_d00_x18_20260901,metered,6.0,153.2,0.0391644908616188,240.0,736.912795,0.24567187698672738,1211.0248916766193,976.912795,0.25,0.25,0.5,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h11_canon0905_lcd1000_x18_20260907,900,5,7,14,2,12,16,161,82,1543.73243,4,4,524.186014,17,0,0.0,8,4,1240.028453,73,31,2477.759839,16,0,0.0,7,0,0.0,836.435395,334.596071,240.0,260.472135,842.60597,192.0,61,29,1540.0,47,19,1540.0,53,34,1554.0,61,29,1545.4950996194,47,19,1543.73243011052,53,34,1555.94834170115,0,0,,9,0,,20,0,,12,0,,0,0,,25,0,,9,0,,10,0,,5,0,,5,1,0,6,5,0,649,2838,28,1800.0,1800.0,1800.0,1800.0,22.0,22.666666666666664,70.66666666666666,22.666666666666664,22.0,22.666666666666664,70.66666666666666,22.666666666666664,WuDistributedController,wu-link,canon_farbn_d00_x18_20260901,metered,5.0,153.2,0.03263707571801567,240.0,836.435395,0.2229581088793536,1204.9697672182363,1076.435395,0.25,0.25,0.5,0.0,0.0,7200.0,284.40388724886617,34.0,34.666666666666664,34.666666666666664,34.666666666666664,0.010994304290619539,0.0041413391975027025,-0.019984593963542352,0.0022026681785405344,0.04720919392503758,0.0,0.0,284.40388724886617,7200.0,284.40388724886617,7200.0,284.40388724886617,284.40388724886617,7200.0,987.3349558264923,0.0,0.0,1.0,1.0,0.0,541.099599764969,541.0965399787517,541.0965399787517,0.0030597862173635804,0.0,0.0,-4.408484265875737e-06,1800.0,0.0,
h11_canon0905_lcd1000_x18_20260907,1050,7,8,20,0,15,20,173,60,1501.385648,0,0,0.0,23,15,478.33486,18,14,1172.095345,81,41,2442.109729,27,0,0.0,4,0,0.0,664.821569,298.270313,292.492137,405.148777,802.120078,240.0,61,21,1498.0,59,14,1505.0,53,25,1505.0,61,21,1501.38564771129,59,14,1505.64580058456,53,25,1507.36997504784,0,0,,14,0,,16,0,,10,0,,0,0,,26,2,194.11303554469,10,0,,9,0,,9,0,,6,0,1,8,5,0,963,3360,35,1800.0,1800.0,1800.0,1800.0,22.0,22.666666666666668,70.66666666666667,22.666666666666668,22.0,22.666666666666668,70.66666666666667,22.666666666666668,WuDistributedController,wu-link,canon_farbn_d00_x18_20260901,metered,7.0,153.2,0.04569190600522194,292.492137,664.821569,0.3055342623497339,1198.944918382145,957.3137059999999,0.25,0.25,0.5,0.0,0.0,7200.0,347.8751083313492,22.0,22.666666666666668,70.66666666666667,22.666666666666668,0.002087364657356261,0.005826578122551496,-0.01001232850366307,0.009975263486282415,0.05806188314103668,0.0,0.0,347.8751083313492,7200.0,347.8751083313492,7200.0,347.8751083313492,347.8751083313492,7200.0,1124.1111764753755,0.0,0.0,1.0,1.0,0.0,597.1723005079218,597.170509633317,597.170509633317,0.0017908746046941815,0.0,0.0,-4.319327328990609e-07,1800.0,0.0,
h11_canon0905_lcd1000_x18_20260907,1200,13,19,31,2,32,33,175,65,1524.565086,2,0,0.0,14,4,522.253186,17,13,1179.484337,91,46,2391.648326,37,12,636.45471,12,3,4.553154,910.314511,453.010375,388.52689,598.414194,825.17388,264.0,60,16,1526.0,64,26,1526.0,51,23,1519.0,60,16,1530.21970355231,64,26,1528.38561725067,51,23,1524.565085936,0,0,,15,0,,21,0,,9,0,,0,0,,28,3,144.686468515887,9,0,,9,0,,5,0,,11,9,2,10,6,0,1142,3845,65,1800.0,1800.0,1800.0,1800.0,22.0,22.666666666666664,70.66666666666666,22.666666666666664,22.0,22.666666666666664,70.66666666666666,22.666666666666664,WuDistributedController,wu-link,canon_farbn_d00_x18_20260901,metered,13.0,153.2,0.08485639686684074,388.52689,910.314511,0.29913343515294977,1298.8414010000001,1298.8414010000001,0.25,0.25,0.5,0.0,0.0,7200.0,291.62243333333333,22.0,22.666666666666664,70.66666666666666,22.666666666666664,0.007674243979082007,0.009560382821703683,-0.011704987085423113,0.005956425798501641,0.11159774233802974,0.0,0.0,291.62243333333333,7200.0,-250.0,1440.0,286.5739072562359,286.5739072562359,1440.0,1290.9770881869338,0.0,0.0,1.0,1.0,0.0,666.0649128008904,666.0626666923564,666.0626666923564,0.002246108533881852,0.0,0.0,2.4548848436722885e-06,1800.0,0.0,
h11_canon0905_lcd1000_x18_20260907,1350,6,3,25,2,9,27,160,45,1514.90534,0,0,0.0,14,4,521.727741,28,20,1137.900987,107,55,2310.045347,57,30,648.730983,19,6,66.185242,926.289184,530.989625,187.488256,676.018062,879.323354,336.0,60,11,1512.0,55,14,1519.0,45,20,1533.0,60,11,1514.90534033864,55,14,1525.57819843389,45,20,1534.04434321315,0,0,,12,0,,14,0,,11,0,,0,0,,19,0,,11,0,,5,0,,5,0,,5,0,1,3,4,0,1287,4298,36,0.0,710.0020885177703,364.99895574111486,364.99895574111486,24.0,22.275862068965516,69.44827586206897,22.275862068965516,20.0,23.057471264367813,71.88505747126436,23.057471264367813,WuDistributedController,wu-link,canon_farbn_d00_x18_20260901,metered,6.0,153.2,0.0391644908616188,187.488256,926.289184,0.1683354764305515,1292.3471939950002,1113.77744,0.25,0.25,0.5,17.03276802096134,34.70456270615961,1440.0,322.59130190476185,24.0,22.275862068965516,69.44827586206897,22.275862068965516,0.0015961464665821268,0.007169053257015889,-0.009039436734354922,0.009253407413240211,0.05560755427645958,135.59558797076647,0.0,322.59130190476185,1440.0,-250.0,1440.0,322.59130190476185,322.59130190476185,1440.0,1473.140396052852,1.0,0.0,0.0,0.0,0.0,713.9515185350917,713.9501289044238,713.9501289044238,0.0013896306679725967,0.0,0.0,-2.5535339140958504e-07,1800.0,0.0,
