road,connector,kind,old_cell,new_cell,position_m,start_m,end_m,length_m
FW_E,10639,ramp,8,10,4698.744684005157,4542.538862220452,4736.591307692308,194.05244547185612
FW_E,10681,ramp,9,12,5041.906460825834,4894.395462666954,5078.637346718093,184.2418840511391
FW_E,10490,ramp,13,21,7243.086426833765,7241.679300033238,7334.528625000001,92.84932496676265
FW_E,10484,ramp,14,23,7603.7453951814805,7498.790500000001,7663.052375,164.26187499999924
FW_E,10481,offramp,12,18,6826.842552641461,6666.313692307693,6841.743,175.4293076923077
FW_E,10483,offramp,13,20,7240.272173232713,7041.711150016619,7241.679300033238,199.9681500166189
FW_E,10643,offramp,8,9,4386.333040435746,4376.421123417918,4542.538862220452,166.1177388025335
FW_E,10682,offramp,9,11,4746.8844645080735,4736.591307692308,4894.395462666954,157.80415497464583
FW_W,10480,ramp,6,8,3625.7990504438503,3525.599794611689,3638.351975673986,112.75218106229704
FW_W,10482,ramp,7,10,3980.9921238771285,3822.359,3988.0290238095236,165.67002380952363
FW_W,10646,ramp,11,18,6162.5073507502075,6036.123787528091,6193.673675782271,157.54988825417968
FW_W,10644,ramp,13,22,6980.985356888035,6970.089452380952,7135.759476190477,165.67002380952454
FW_W,10491,offramp,6,9,3650.904900904122,3638.351975673986,3822.359,184.00702432601383
FW_W,10479,offramp,6,7,3425.400538779528,3400.953754448701,3525.599794611689,124.6460401629879
FW_W,10638,offramp,11,19,6224.840000814334,6193.673675782271,6307.409357142857,113.73568136058566
FW_W,10645,offramp,11,16,5909.740224305974,5810.399285714286,5923.2615366211885,112.86225090690277
