arm,scale_m,cell,group,seconds,clustered_seconds,masked_seconds,cluster_share_pct,masked_share_pct
none_s23,250,8,0,451,88,2,19.51219512195122,0.4434589800443459
none_s23,250,8,1,451,405,0,89.80044345898004,0.0
none_s23,250,8,2,451,0,0,0.0,0.0
none_s23,250,9,0,451,0,0,0.0,0.0
none_s23,250,9,1,451,277,1,61.4190687361419,0.22172949002217296
none_s23,250,9,2,451,10,0,2.2172949002217295,0.0
none_s23,250,12,0,451,0,0,0.0,0.0
none_s23,250,12,1,451,0,0,0.0,0.0
none_s23,250,12,2,451,0,0,0.0,0.0
none_s23,250,13,0,451,0,0,0.0,0.0
none_s23,250,13,1,451,0,0,0.0,0.0
none_s23,250,13,2,451,0,0,0.0,0.0
none_s23,250,14,0,451,104,0,23.059866962305986,0.0
none_s23,250,14,1,451,68,4,15.077605321507761,0.8869179600886918
none_s23,250,14,2,451,30,0,6.651884700665188,0.0
none_s23,100,8,0,451,165,21,36.58536585365854,4.656319290465632
none_s23,100,8,1,451,412,0,91.35254988913526,0.0
none_s23,100,8,2,451,0,0,0.0,0.0
none_s23,100,9,0,451,5,5,1.1086474501108647,1.1086474501108647
none_s23,100,9,1,451,390,16,86.47450110864744,3.5476718403547673
none_s23,100,9,2,451,32,13,7.095343680709535,2.882483370288248
none_s23,100,12,0,451,0,0,0.0,0.0
none_s23,100,12,1,451,35,18,7.760532150776053,3.9911308203991127
none_s23,100,12,2,451,9,9,1.9955654101995564,1.9955654101995564
none_s23,100,13,0,451,22,11,4.878048780487805,2.4390243902439024
none_s23,100,13,1,451,8,3,1.7738359201773837,0.6651884700665188
none_s23,100,13,2,451,15,15,3.325942350332594,3.325942350332594
none_s23,100,14,0,451,229,15,50.77605321507761,3.325942350332594
none_s23,100,14,1,451,175,8,38.80266075388026,1.7738359201773837
none_s23,100,14,2,451,137,6,30.376940133037696,1.3303769401330376
none_s23,50,8,0,451,166,16,36.80709534368071,3.5476718403547673
none_s23,50,8,1,451,411,0,91.13082039911308,0.0
none_s23,50,8,2,451,0,0,0.0,0.0
none_s23,50,9,0,451,0,0,0.0,0.0
none_s23,50,9,1,451,373,9,82.70509977827051,1.9955654101995564
none_s23,50,9,2,451,60,31,13.303769401330376,6.873614190687362
none_s23,50,12,0,451,0,0,0.0,0.0
none_s23,50,12,1,451,26,6,5.764966740576496,1.3303769401330376
none_s23,50,12,2,451,15,14,3.325942350332594,3.1042128603104215
none_s23,50,13,0,451,24,13,5.321507760532151,2.882483370288248
none_s23,50,13,1,451,11,6,2.4390243902439024,1.3303769401330376
none_s23,50,13,2,451,18,17,3.9911308203991127,3.7694013303769403
none_s23,50,14,0,451,219,18,48.55875831485588,3.9911308203991127
none_s23,50,14,1,451,179,8,39.689578713968956,1.7738359201773837
none_s23,50,14,2,451,134,8,29.711751662971174,1.7738359201773837
rm_ramp_s23,250,8,0,451,88,2,19.51219512195122,0.4434589800443459
rm_ramp_s23,250,8,1,451,405,0,89.80044345898004,0.0
rm_ramp_s23,250,8,2,451,0,0,0.0,0.0
rm_ramp_s23,250,9,0,451,0,0,0.0,0.0
rm_ramp_s23,250,9,1,451,284,1,62.97117516629712,0.22172949002217296
rm_ramp_s23,250,9,2,451,10,0,2.2172949002217295,0.0
rm_ramp_s23,250,12,0,451,0,0,0.0,0.0
rm_ramp_s23,250,12,1,451,0,0,0.0,0.0
rm_ramp_s23,250,12,2,451,0,0,0.0,0.0
rm_ramp_s23,250,13,0,451,5,5,1.1086474501108647,1.1086474501108647
rm_ramp_s23,250,13,1,451,5,3,1.1086474501108647,0.6651884700665188
rm_ramp_s23,250,13,2,451,7,5,1.5521064301552108,1.1086474501108647
rm_ramp_s23,250,14,0,451,46,1,10.199556541019955,0.22172949002217296
rm_ramp_s23,250,14,1,451,31,0,6.873614190687362,0.0
rm_ramp_s23,250,14,2,451,9,0,1.9955654101995564,0.0
rm_ramp_s23,100,8,0,451,165,21,36.58536585365854,4.656319290465632
rm_ramp_s23,100,8,1,451,412,0,91.35254988913526,0.0
rm_ramp_s23,100,8,2,451,0,0,0.0,0.0
rm_ramp_s23,100,9,0,451,5,5,1.1086474501108647,1.1086474501108647
rm_ramp_s23,100,9,1,451,392,16,86.91796008869179,3.5476718403547673
rm_ramp_s23,100,9,2,451,32,13,7.095343680709535,2.882483370288248
rm_ramp_s23,100,12,0,451,0,0,0.0,0.0
rm_ramp_s23,100,12,1,451,35,18,7.760532150776053,3.9911308203991127
rm_ramp_s23,100,12,2,451,9,9,1.9955654101995564,1.9955654101995564
rm_ramp_s23,100,13,0,451,37,27,8.2039911308204,5.986696230598669
rm_ramp_s23,100,13,1,451,37,28,8.2039911308204,6.208425720620843
rm_ramp_s23,100,13,2,451,32,21,7.095343680709535,4.656319290465632
rm_ramp_s23,100,14,0,451,249,32,55.210643015521065,7.095343680709535
rm_ramp_s23,100,14,1,451,135,19,29.933481152993345,4.212860310421286
rm_ramp_s23,100,14,2,451,90,13,19.955654101995567,2.882483370288248
rm_ramp_s23,50,8,0,451,166,16,36.80709534368071,3.5476718403547673
rm_ramp_s23,50,8,1,451,411,0,91.13082039911308,0.0
rm_ramp_s23,50,8,2,451,0,0,0.0,0.0
rm_ramp_s23,50,9,0,451,0,0,0.0,0.0
rm_ramp_s23,50,9,1,451,375,9,83.14855875831486,1.9955654101995564
rm_ramp_s23,50,9,2,451,51,23,11.30820399113082,5.099778270509978
rm_ramp_s23,50,12,0,451,0,0,0.0,0.0
rm_ramp_s23,50,12,1,451,26,6,5.764966740576496,1.3303769401330376
rm_ramp_s23,50,12,2,451,15,14,3.325942350332594,3.1042128603104215
rm_ramp_s23,50,13,0,451,34,20,7.5388026607538805,4.434589800443459
rm_ramp_s23,50,13,1,451,47,31,10.42128603104213,6.873614190687362
rm_ramp_s23,50,13,2,451,26,20,5.764966740576496,4.434589800443459
rm_ramp_s23,50,14,0,451,244,30,54.1019955654102,6.651884700665188
rm_ramp_s23,50,14,1,451,134,13,29.711751662971174,2.882483370288248
rm_ramp_s23,50,14,2,451,86,9,19.06873614190687,1.9955654101995564
vsl_s23,250,8,0,451,115,3,25.49889135254989,0.6651884700665188
vsl_s23,250,8,1,451,293,0,64.96674057649668,0.0
vsl_s23,250,8,2,451,0,0,0.0,0.0
vsl_s23,250,9,0,451,0,0,0.0,0.0
vsl_s23,250,9,1,451,320,2,70.95343680709534,0.4434589800443459
vsl_s23,250,9,2,451,0,0,0.0,0.0
vsl_s23,250,12,0,451,0,0,0.0,0.0
vsl_s23,250,12,1,451,0,0,0.0,0.0
vsl_s23,250,12,2,451,0,0,0.0,0.0
vsl_s23,250,13,0,451,0,0,0.0,0.0
vsl_s23,250,13,1,451,0,0,0.0,0.0
vsl_s23,250,13,2,451,0,0,0.0,0.0
vsl_s23,250,14,0,451,19,0,4.212860310421286,0.0
vsl_s23,250,14,1,451,5,1,1.1086474501108647,0.22172949002217296
vsl_s23,250,14,2,451,18,0,3.9911308203991127,0.0
vsl_s23,100,8,0,451,204,3,45.23281596452328,0.6651884700665188
vsl_s23,100,8,1,451,344,0,76.27494456762749,0.0
vsl_s23,100,8,2,451,11,4,2.4390243902439024,0.8869179600886918
vsl_s23,100,9,0,451,8,7,1.7738359201773837,1.5521064301552108
vsl_s23,100,9,1,451,413,3,91.57427937915743,0.6651884700665188
vsl_s23,100,9,2,451,25,1,5.543237250554324,0.22172949002217296
vsl_s23,100,12,0,451,0,0,0.0,0.0
vsl_s23,100,12,1,451,6,6,1.3303769401330376,1.3303769401330376
vsl_s23,100,12,2,451,0,0,0.0,0.0
vsl_s23,100,13,0,451,18,13,3.9911308203991127,2.882483370288248
vsl_s23,100,13,1,451,21,21,4.656319290465632,4.656319290465632
vsl_s23,100,13,2,451,0,0,0.0,0.0
vsl_s23,100,14,0,451,159,29,35.254988913525494,6.430155210643015
vsl_s23,100,14,1,451,76,4,16.851441241685144,0.8869179600886918
vsl_s23,100,14,2,451,67,11,14.855875831485587,2.4390243902439024
vsl_s23,50,8,0,451,201,5,44.567627494456765,1.1086474501108647
vsl_s23,50,8,1,451,336,0,74.50110864745011,0.0
vsl_s23,50,8,2,451,29,18,6.430155210643015,3.9911308203991127
vsl_s23,50,9,0,451,0,0,0.0,0.0
vsl_s23,50,9,1,451,401,3,88.91352549889136,0.6651884700665188
vsl_s23,50,9,2,451,44,9,9.75609756097561,1.9955654101995564
vsl_s23,50,12,0,451,0,0,0.0,0.0
vsl_s23,50,12,1,451,7,0,1.5521064301552108,0.0
vsl_s23,50,12,2,451,0,0,0.0,0.0
vsl_s23,50,13,0,451,25,18,5.543237250554324,3.9911308203991127
vsl_s23,50,13,1,451,14,14,3.1042128603104215,3.1042128603104215
vsl_s23,50,13,2,451,6,6,1.3303769401330376,1.3303769401330376
vsl_s23,50,14,0,451,155,21,34.368070953436806,4.656319290465632
vsl_s23,50,14,1,451,85,9,18.8470066518847,1.9955654101995564
vsl_s23,50,14,2,451,72,13,15.96452328159645,2.882483370288248
