arm,scale_m,time_s,cell,group,start_m,end_m,local_n,local_v,local_rho,cell_rho,cell_v,rho_crit,stopped
rm_ramp_s23,100,2675,13,2,7235.971500000001,7334.528625000001,8.0,7.456249999999999,81.17119893665706,26.380639654413596,48.13846153846154,28.0,5.0
rm_ramp_s23,100,2467,14,0,7531.6428750000005,7630.200000000001,8.0,8.504999999999999,81.17119893665706,26.380639654413645,38.02076923076923,28.0,5.0
none_s23,100,2598,14,1,7630.200000000001,7728.757125,5.0,11.719999999999999,50.73199933541114,24.351359680997213,40.260000000000005,28.0,4.0
none_s23,100,2491,9,2,4999.7352692307695,5087.449923076923,5.0,12.292,28.50150904528276,18.05095572867908,65.83631578947369,20.0,3.0
rm_ramp_s23,100,2491,9,2,4999.7352692307695,5087.449923076923,5.0,12.292,28.50150904528276,18.05095572867908,65.83631578947369,20.0,3.0
none_s23,100,2839,13,0,7235.971500000001,7334.528625000001,6.0,22.716666666666665,60.8783992024928,26.380639654413596,70.24692307692307,28.0,3.0
vsl_s23,100,2462,14,0,7531.6428750000005,7630.200000000001,4.0,7.4350000000000005,40.58559946832853,20.292799734164344,51.826,28.0,3.0
vsl_s23,100,2689,13,1,7235.971500000001,7334.528625000001,5.0,14.806000000000001,50.73199933541067,16.234239787331443,54.65500000000001,28.0,3.0
none_s23,100,2525,12,1,6578.599038461539,6666.313692307693,3.0,5.823333333333333,34.201810854339314,19.001006030188506,58.865999999999985,25.0,2.0
rm_ramp_s23,100,2525,12,1,6578.599038461539,6666.313692307693,3.0,5.823333333333333,34.201810854339314,19.001006030188506,58.865999999999985,25.0,2.0
vsl_s23,100,2448,8,2,4210.303384615385,4298.018038461539,6.0,12.57,34.201810854339314,19.001006030188506,59.46500000000001,20.0,2.0
vsl_s23,100,2787,9,0,4999.7352692307695,5087.449923076923,4.0,19.845,45.602414472452416,17.100905427169657,57.05777777777777,20.0,2.0
none_s23,100,2715,8,0,4648.876653846154,4736.591307692308,3.0,4.47,34.201810854339314,19.001006030188506,37.127,20.0,2.0
rm_ramp_s23,100,2715,8,0,4648.876653846154,4736.591307692308,3.0,4.47,34.201810854339314,19.001006030188506,37.127,20.0,2.0
vsl_s23,100,2476,12,1,6403.169730769231,6490.884384615385,3.0,12.256666666666666,34.201810854339314,20.901106633207355,63.68727272727272,25.0,1.0
