mode,arm,group_state_checks,max_speed_kmh,max_advective_courant,max_conservation_residual_veh,numerical_screen_pass
reference5,none,3690,119.95632781777742,0.8223257214833297,2.842170943040401e-14,True
reference5,rm_ramp,3690,119.95632781777742,0.8223257214833297,2.1316282072803006e-14,True
reference5,vsl,3690,119.59639308501077,0.8099400793572074,2.842170943040401e-14,True
reference5,both,3690,119.59639308501077,0.8099400793572074,2.842170943040401e-14,True
reference1,none,18450,118.95134855976856,0.15141028863550102,2.842170943040401e-14,True
reference1,rm_ramp,18450,118.95134855976856,0.15141030446901305,2.842170943040401e-14,True
reference1,vsl,18450,118.13601821098264,0.1508978164878954,2.842170943040401e-14,True
reference1,both,18450,118.13601821098264,0.1508978321348612,2.842170943040401e-14,True
refined1,none,31950,1107.8436759096387,31.04690584736127,4.263256414560601e-14,False
refined1,rm_ramp,31950,1107.8436759096596,31.046905847361856,2.842170943040401e-14,False
refined1,vsl,31950,1106.1264500247082,30.998781232375034,4.263256414560601e-14,False
refined1,both,31950,1106.1264500247503,30.998781232376214,4.263256414560601e-14,False
refined_guard1,none,31950,122.90925828748396,0.3505830105525749,4.263256414560601e-14,True
refined_guard1,rm_ramp,31950,122.90925828748396,0.3505830105525749,2.842170943040401e-14,True
refined_guard1,vsl,31950,121.70615175895165,0.3480839996447339,2.842170943040401e-14,True
refined_guard1,both,31950,121.70615175895165,0.3480839996447339,4.263256414560601e-14,True
