sim_sec,model_link,direction,segment_index,segment_id,count,speed_sum,mean_speed_kph,length_km,lanes,density_veh_km_lane,flow_proxy_veh_h
230,FW_W,WB,2,WB_S2_F_MERGE_TO_D_DIVERGE,1,107.720696,107.720696,0.588210,2,0.850037,183.133047
230,FW_W,WB,3,WB_S3_D_DIVERGE_TO_D_MERGE,0,0.000000,0.000000,0.654785,2,0.000000,0.000000
230,FW_W,WB,4,WB_S4_D_MERGE_TO_W_EXIT,1,106.375334,106.375334,0.501758,2,0.996496,212.005154
240,FW_E,EB,0,EB_S0_W_ENTRY_TO_D_DIVERGE,4,419.648236,104.912059,0.498032,2,4.015808,842.613342
240,FW_E,EB,1,EB_S1_D_DIVERGE_TO_D_MERGE,1,123.215872,123.215872,0.313360,2,1.595611,393.209100
240,FW_E,EB,2,EB_S2_D_MERGE_TO_F_DIVERGE,3,418.956247,139.652082,0.923223,2,1.624742,453.797339
240,FW_E,EB,3,EB_S3_F_DIVERGE_TO_F_MERGE,1,136.553127,136.553127,0.293535,2,1.703374,465.202075
240,FW_E,EB,4,EB_S4_F_MERGE_TO_E_EXIT,9,1130.791274,125.643475,0.870853,2,5.167346,1298.486633
240,FW_W,WB,0,WB_S0_E_ENTRY_TO_F_DIVERGE,2,163.103348,81.551674,0.536739,2,1.863103,303.878402
240,FW_W,WB,1,WB_S1_F_DIVERGE_TO_F_MERGE,2,228.151338,114.075669,0.617511,2,1.619405,369.469456
240,FW_W,WB,2,WB_S2_F_MERGE_TO_D_DIVERGE,1,107.720696,107.720696,0.588210,2,0.850037,183.133047
240,FW_W,WB,3,WB_S3_D_DIVERGE_TO_D_MERGE,0,0.000000,0.000000,0.654785,2,0.000000,0.000000
240,FW_W,WB,4,WB_S4_D_MERGE_TO_W_EXIT,2,145.017623,72.508812,0.501758,2,1.992992,289.018916
