archived_path,original_path,bucket,bytes,reason
_archive/old_docs/HANDOFF_WORKSTATION_20260813.md,HANDOFF_WORKSTATION_20260813.md,old_docs,19008,"2026-08-13 워크스테이션 이관 안내문. 저장소 전체(.git·vendor 제외) grep 에서 이 파일명을 언급하는 파일이 0건 — 자기 자신조차 언급하지 않는다. 코드·config·테스트·문서 어디에서도 안 읽는다. 내용은 이미 완료된 이관 절차이고(현재 브랜치가 그 문서가 지시한 codex/plant-fidelity-v2-1 이다), 망을 modi_eval_rw_control_n4dr150_20260812.inpx 로, 모델을 '통제 15' 로 서술해 core17legs4b 정본과 정면으로 어긋난다. 혼동 유발 위험이 크"
_archive/old_docs/evaluation/calibration/calibration_progress_report_2026-06-26.md,evaluation/calibration/calibration_progress_report_2026-06-26.md,old_docs,6706,"참조 0건, 2026-06 보고서"
_archive/old_docs/evaluation/calibration/calibration_summary_2026-06-26.md,evaluation/calibration/calibration_summary_2026-06-26.md,old_docs,4351,참조 0건
_archive/intermediate_results/evaluation/calibration/component_canary_pstack_decision_balanced_ladder_active0_20260716.json,evaluation/calibration/component_canary_pstack_decision_balanced_ladder_active0_20260716.json,intermediate_results,3232,동상
_archive/intermediate_results/evaluation/calibration/component_canary_pstack_decision_balanced_ladder_active0_20260716.md,evaluation/calibration/component_canary_pstack_decision_balanced_ladder_active0_20260716.md,intermediate_results,999,동상
_archive/intermediate_results/evaluation/calibration/component_canary_pstack_guarded_ladder_20260715.json,evaluation/calibration/component_canary_pstack_guarded_ladder_20260715.json,intermediate_results,3240,8seg 시대 component canary 산출물. 참조 0건
_archive/intermediate_results/evaluation/calibration/component_canary_pstack_guarded_ladder_20260715.md,evaluation/calibration/component_canary_pstack_guarded_ladder_20260715.md,intermediate_results,966,동상
_archive/intermediate_results/evaluation/calibration/component_canary_pstack_guarded_ladder_active0_20260715.json,evaluation/calibration/component_canary_pstack_guarded_ladder_active0_20260715.json,intermediate_results,3231,동상
_archive/intermediate_results/evaluation/calibration/component_canary_pstack_guarded_ladder_active0_20260715.md,evaluation/calibration/component_canary_pstack_guarded_ladder_active0_20260715.md,intermediate_results,969,동상
_archive/intermediate_results/evaluation/calibration/component_canary_pstack_guarded_terminal_ladder_active0_20260715.json,evaluation/calibration/component_canary_pstack_guarded_terminal_ladder_active0_20260715.json,intermediate_results,3257,동상
_archive/intermediate_results/evaluation/calibration/component_canary_pstack_guarded_terminal_ladder_active0_20260715.md,evaluation/calibration/component_canary_pstack_guarded_terminal_ladder_active0_20260715.md,intermediate_results,993,동상
_archive/intermediate_results/evaluation/calibration/component_canary_pstack_mfd277_combined_no_pfoinc_smoke_20260715.json,evaluation/calibration/component_canary_pstack_mfd277_combined_no_pfoinc_smoke_20260715.json,intermediate_results,1113,동상
_archive/intermediate_results/evaluation/calibration/component_canary_pstack_mfd277_combined_no_pfoinc_smoke_20260715.md,evaluation/calibration/component_canary_pstack_mfd277_combined_no_pfoinc_smoke_20260715.md,intermediate_results,701,동상
_archive/intermediate_results/evaluation/calibration/component_canary_pstack_mfd277_combined_smoke_20260715.json,evaluation/calibration/component_canary_pstack_mfd277_combined_smoke_20260715.json,intermediate_results,1133,동상
_archive/intermediate_results/evaluation/calibration/component_canary_pstack_mfd277_combined_smoke_20260715.md,evaluation/calibration/component_canary_pstack_mfd277_combined_smoke_20260715.md,intermediate_results,681,동상
_archive/intermediate_results/evaluation/calibration/component_canary_pstack_mfd277_smoke_20260715.json,evaluation/calibration/component_canary_pstack_mfd277_smoke_20260715.json,intermediate_results,1093,동상
_archive/intermediate_results/evaluation/calibration/component_canary_pstack_mfd277_smoke_20260715.md,evaluation/calibration/component_canary_pstack_mfd277_smoke_20260715.md,intermediate_results,663,동상
_archive/intermediate_results/evaluation/calibration/fd_sample_summary_smoke.json,evaluation/calibration/fd_sample_summary_smoke.json,intermediate_results,1004,2026-06 smoke 산출물. 참조 0건
_archive/intermediate_results/evaluation/calibration/fd_samples_smoke.csv,evaluation/calibration/fd_samples_smoke.csv,intermediate_results,2554,동상
_archive/old_docs/evaluation/calibration/getall_free_logging_notes_2026-06-26.md,evaluation/calibration/getall_free_logging_notes_2026-06-26.md,old_docs,1714,참조 0건
_archive/old_docs/evaluation/calibration/mpc_vissim_calibration_plan.md,evaluation/calibration/mpc_vissim_calibration_plan.md,old_docs,7138,참조 0건
_archive/old_docs/evaluation/calibration/observation_v2_storage_split_report_20260628.md,evaluation/calibration/observation_v2_storage_split_report_20260628.md,old_docs,3713,참조 0건
_archive/intermediate_results/evaluation/calibration/prediction_audit_bayes_update_8seg_pfo_green_frozen_smoke_20260715.json,evaluation/calibration/prediction_audit_bayes_update_8seg_pfo_green_frozen_smoke_20260715.json,intermediate_results,2569,참조 0건(짝인 .md 만 8seg ps1 의 출력 경로로 등장 → 그쪽은 REVIEW)
_archive/intermediate_results/evaluation/calibration/prediction_audit_bayes_update_pilot_20260629.json,evaluation/calibration/prediction_audit_bayes_update_pilot_20260629.json,intermediate_results,1571,참조 0건
_archive/intermediate_results/evaluation/calibration/prediction_audit_bayes_update_pilot_20260629.md,evaluation/calibration/prediction_audit_bayes_update_pilot_20260629.md,intermediate_results,799,참조 0건
_archive/old_docs/evaluation/calibration/prediction_error_calibration_notes_20260628.md,evaluation/calibration/prediction_error_calibration_notes_20260628.md,old_docs,4230,참조 0건
_archive/old_docs/evaluation/calibration/prediction_error_improvement_report_20260629.md,evaluation/calibration/prediction_error_improvement_report_20260629.md,old_docs,10871,참조 0건
_archive/intermediate_results/evaluation/calibration/prediction_holdout_v2_profiled_components_20260629.csv,evaluation/calibration/prediction_holdout_v2_profiled_components_20260629.csv,intermediate_results,37342,참조 0건
_archive/old_docs/evaluation/calibration/prediction_holdout_v2_profiled_components_20260629.md,evaluation/calibration/prediction_holdout_v2_profiled_components_20260629.md,old_docs,12293,옛 리포트끼리만 링크
_archive/old_docs/evaluation/calibration/subagent_vissim_capacity_crosscheck_20260628.md,evaluation/calibration/subagent_vissim_capacity_crosscheck_20260628.md,old_docs,4672,다른 옛 md 1건만 링크
_archive/intermediate_results/evaluation/calibration/vissim_calibration_fit_vector_smoke.json,evaluation/calibration/vissim_calibration_fit_vector_smoke.json,intermediate_results,1628,참조 0건
