sim_sec,interval_sec,total_signal_discharge,total_signal_discharge_rate_vph,urban_vehicles,boundary_vehicles,ramp_vehicles,mean_speed_kph
1,1.000000,0,0.000000,0,0,0,58.153997
15,15.000000,0,0.000000,0,2,0,82.397457
30,15.000000,0,0.000000,0,2,0,96.266118
45,15.000000,1,240.000000,0,5,2,96.355594
60,15.000000,5,1200.000000,1,5,6,86.942136
75,15.000000,4,960.000000,6,6,0,97.860422
90,15.000000,2,480.000000,2,8,0,103.507894
105,15.000000,1,240.000000,7,14,1,106.961230
120,15.000000,6,1440.000000,5,14,5,103.798288
135,15.000000,8,1920.000000,7,6,10,92.212371
150,15.000000,3,720.000000,8,5,15,86.265217
165,15.000000,2,480.000000,9,6,19,75.743630
180,15.000000,2,480.000000,10,8,22,68.359905
195,15.000000,16,3840.000000,15,15,4,83.313669
210,15.000000,9,2160.000000,23,16,2,98.668981
225,15.000000,3,720.000000,23,11,2,93.922925
240,15.000000,13,3120.000000,22,13,2,82.018620
255,15.000000,8,1920.000000,17,8,4,86.820212
270,15.000000,3,720.000000,15,14,10,81.810009
285,15.000000,13,3120.000000,15,10,14,68.985687
300,15.000000,8,1920.000000,14,7,18,66.813522
315,15.000000,12,2880.000000,14,11,5,83.508231
330,15.000000,6,1440.000000,18,20,2,94.467194
345,15.000000,11,2640.000000,20,23,3,91.266947
360,15.000000,6,1440.000000,19,16,5,90.695773
375,15.000000,13,3120.000000,15,14,10,88.501244
390,15.000000,8,1920.000000,14,17,14,81.306574
405,15.000000,6,1440.000000,15,9,21,71.228371
420,15.000000,9,2160.000000,14,9,24,66.922872
435,15.000000,8,1920.000000,16,10,19,72.346511
450,15.000000,12,2880.000000,29,33,0,85.294474
465,15.000000,9,2160.000000,19,32,3,85.157390
480,15.000000,11,2640.000000,20,18,4,78.060514
495,15.000000,5,1200.000000,9,12,5,83.770018
510,15.000000,9,2160.000000,16,16,11,78.230347
525,15.000000,6,1440.000000,15,17,13,72.609199
540,15.000000,10,2400.000000,13,11,19,71.527639
555,15.000000,13,3120.000000,10,10,18,73.633108
570,15.000000,16,3840.000000,23,29,8,89.564326
585,15.000000,9,2160.000000,23,29,5,91.902898
600,15.000000,3,720.000000,24,20,1,86.450419
615,15.000000,7,1680.000000,13,10,2,82.163036
630,15.000000,13,3120.000000,22,17,6,79.322170
645,15.000000,7,1680.000000,23,14,12,76.408534
660,15.000000,11,2640.000000,20,11,16,72.548820
675,15.000000,3,720.000000,13,11,19,70.001783
690,15.000000,16,3840.000000,25,31,5,88.318445
705,15.000000,8,1920.000000,20,31,1,84.933266
720,15.000000,5,1200.000000,17,16,6,83.787876
735,15.000000,2,480.000000,13,9,4,80.321903
750,15.000000,10,2400.000000,12,19,8,83.575061
765,15.000000,0,0.000000,13,13,10,84.592919
780,15.000000,12,2880.000000,9,9,14,73.132703
795,15.000000,1,240.000000,14,8,20,74.875285
810,15.000000,15,3600.000000,20,23,8,91.504992
825,15.000000,12,2880.000000,16,32,4,91.598015
840,15.000000,2,480.000000,15,21,1,88.024633
855,15.000000,5,1200.000000,18,11,6,82.558762
870,15.000000,12,2880.000000,16,13,13,79.835977
885,15.000000,5,1200.000000,15,12,18,65.866394
900,15.000000,7,1680.000000,11,6,24,60.274431
